,Артикул,Артикул-1,Краткое наименование,Наименование,Полное наименование,Цвет,Размер,Кол-во,Цена,Пол,Материал,Состав,Страна производства,Бренд,Вес брутто,Коллекция
67,CAB 2296 ,CAB 2296 -3,Майки бельевые,CAB 2296 Майка ясельная,CAB 2296 Майка ясельная Оранжевый (животные) (074)-48,Оранжевый (животные),(074)-48,22,84,Женский,"Рибана, 100% хлопок",,,Cherubino,0.946,
68,CAB 2296 ,CAB 2296 -4,Майки бельевые,CAB 2296 Майка ясельная,CAB 2296 Майка ясельная Оранжевый (животные) (068)-44,Оранжевый (животные),(068)-44,17,84,Женский,"Рибана, 100% хлопок",,,Cherubino,0.731,
69,CAB 2296 ,CAB 2296 -5,Майки бельевые,CAB 2296 Майка ясельная,CAB 2296 Майка ясельная Розовый (пчелки) (074)-48,Розовый (пчелки),(074)-48,1,84,Женский,"Рибана, 100% хлопок",,,Cherubino,0.043,
70,CAB 2351,CAB 2351-1,Майки бельевые,CAB 2351 Майка ясельная,CAB 2351 Майка ясельная Розовый (068)-44,Розовый,(068)-44,8,117,Женский,"рибана, 100% хлопок",,,Cherubino,0.392,
71,CAB 2351,CAB 2351-2,Майки бельевые,CAB 2351 Майка ясельная,CAB 2351 Майка ясельная Персиковый (080)-52,Персиковый,(080)-52,1,117,Женский,"рибана, 100% хлопок",,,Cherubino,0.049,
72,CAB 2351,CAB 2351-3,Майки бельевые,CAB 2351 Майка ясельная,CAB 2351 Майка ясельная Розовый (086)-52,Розовый,(086)-52,13,117,Женский,"рибана, 100% хлопок",,,Cherubino,0.637,
73,CAB 2351,CAB 2351-4,Майки бельевые,CAB 2351 Майка ясельная,CAB 2351 Майка ясельная Св.розовый (068)-44,Св.розовый,(068)-44,4,117,Женский,"рибана, 100% хлопок",,,Cherubino,0.196,
74,CAB 2351,CAB 2351-5,Майки бельевые,CAB 2351 Майка ясельная,CAB 2351 Майка ясельная Розовый (080)-52,Розовый,(080)-52,25,117,Женский,"рибана, 100% хлопок",,,Cherubino,1.225,
75,CAB 2351,CAB 2351-6,Майки бельевые,CAB 2351 Майка ясельная,CAB 2351 Майка ясельная Персиковый (068)-44,Персиковый,(068)-44,1,117,Женский,"рибана, 100% хлопок",,,Cherubino,0.049,
76,CAB 2351,CAB 2351-7,Майки бельевые,CAB 2351 Майка ясельная,CAB 2351 Майка ясельная Розовый (074)-48,Розовый,(074)-48,24,117,Женский,"рибана, 100% хлопок",,,Cherubino,1.176,
77,CAB 2351,CAB 2351-8,Майки бельевые,CAB 2351 Майка ясельная,CAB 2351 Майка ясельная Персиковый (074)-48,Персиковый,(074)-48,21,117,Женский,"рибана, 100% хлопок",,,Cherubino,1.029,
78,CAB 3394,CAB 3394-1,Комплекты белья,"CAB 3394 Комплект ясельный (майка, трусы)","CAB 3394 Комплект ясельный (майка, трусы) Салатовый (062)-40",Салатовый,(062)-40,91,166,Мужской,"Рибана, 100% хлопок",,,Cherubino,6.552,
79,CAB 3394,CAB 3394-2,Комплекты белья,"CAB 3394 Комплект ясельный (майка, трусы)","CAB 3394 Комплект ясельный (майка, трусы) Голубой (062)-40",Голубой,(062)-40,89,166,Мужской,"Рибана, 100% хлопок",,,Cherubino,6.408,
80,CAB 3394,CAB 3394-3,Комплекты белья,"CAB 3394 Комплект ясельный (майка, трусы)","CAB 3394 Комплект ясельный (майка, трусы) Салатовый (068)-44",Салатовый,(068)-44,73,166,Мужской,"Рибана, 100% хлопок",,,Cherubino,5.256,
81,CAB 3394,CAB 3394-4,Комплекты белья,"CAB 3394 Комплект ясельный (майка, трусы)","CAB 3394 Комплект ясельный (майка, трусы) Голубой (068)-44",Голубой,(068)-44,62,166,Мужской,"Рибана, 100% хлопок",,,Cherubino,4.464,
82,CAB 3395 ,CAB 3395 -1,Комплекты белья,"CAB 3395 Комплект ясельный (майка, трусы)","CAB 3395 Комплект ясельный (майка, трусы) Салатовый (068)-44",Салатовый,(068)-44,45,164,Мужской,"Рибана, 100% хлопок",,,Cherubino,3.24,
83,CAB 3395 ,CAB 3395 -2,Комплекты белья,"CAB 3395 Комплект ясельный (майка, трусы)","CAB 3395 Комплект ясельный (майка, трусы) Белый (062)-40",Белый,(062)-40,4,164,Мужской,"Рибана, 100% хлопок",,,Cherubino,0.288,
84,CAB 3395 ,CAB 3395 -3,Комплекты белья,"CAB 3395 Комплект ясельный (майка, трусы)","CAB 3395 Комплект ясельный (майка, трусы) Голубой (068)-44",Голубой,(068)-44,36,164,Мужской,"Рибана, 100% хлопок",,,Cherubino,2.592,
85,CAB 3395 ,CAB 3395 -4,Комплекты белья,"CAB 3395 Комплект ясельный (майка, трусы)","CAB 3395 Комплект ясельный (майка, трусы) Салатовый (062)-40",Салатовый,(062)-40,45,164,Мужской,"Рибана, 100% хлопок",,,Cherubino,3.24,
86,CAB 3395 ,CAB 3395 -5,Комплекты белья,"CAB 3395 Комплект ясельный (майка, трусы)","CAB 3395 Комплект ясельный (майка, трусы) Голубой (062)-40",Голубой,(062)-40,48,164,Мужской,"Рибана, 100% хлопок",,,Cherubino,3.456,
87,CAB 3404,CAB 3404-1,Комплекты белья,"CAB 3404 Комплект ясельный (майка, трусы)","CAB 3404 Комплект ясельный (майка, трусы) Бирюзовый (062)-40",Бирюзовый,(062)-40,26,156,Женский,"Рибана, 100% хлопок",,,Cherubino,1.976,
88,CAB 3404,CAB 3404-2,Комплекты белья,"CAB 3404 Комплект ясельный (майка, трусы)","CAB 3404 Комплект ясельный (майка, трусы) Розовый (062)-40",Розовый,(062)-40,59,156,Женский,"Рибана, 100% хлопок",,,Cherubino,4.484,
89,CAB 3404,CAB 3404-3,Комплекты белья,"CAB 3404 Комплект ясельный (майка, трусы)","CAB 3404 Комплект ясельный (майка, трусы) Розовый (068)-44",Розовый,(068)-44,36,156,Женский,"Рибана, 100% хлопок",,,Cherubino,2.736,
90,CAB 3404,CAB 3404-4,Комплекты белья,"CAB 3404 Комплект ясельный (майка, трусы)","CAB 3404 Комплект ясельный (майка, трусы) Бирюзовый (068)-44",Бирюзовый,(068)-44,33,156,Женский,"Рибана, 100% хлопок",,,Cherubino,2.508,
91,CAB 3404,CAB 3404-5,Комплекты белья,"CAB 3404 Комплект ясельный (майка, трусы)","CAB 3404 Комплект ясельный (майка, трусы) Арбузный (062)-40",Арбузный,(062)-40,64,156,Женский,"Рибана, 100% хлопок",,,Cherubino,4.864,
92,CAB 3404,CAB 3404-6,Комплекты белья,"CAB 3404 Комплект ясельный (майка, трусы)","CAB 3404 Комплект ясельный (майка, трусы) Голубой (068)-44",Голубой,(068)-44,22,156,Женский,"Рибана, 100% хлопок",,,Cherubino,1.672,
93,CAB 3405 ,CAB 3405 -1,Комплекты белья,"CAB 3405 Комплект ясельный (майка, трусы)","CAB 3405 Комплект ясельный (майка, трусы) Голубой (086)-52",Голубой,(086)-52,1,159,Женский,"Рибана, 100% хлопок",,,Cherubino,0.076,
94,CAB 3405 ,CAB 3405 -2,Комплекты белья,"CAB 3405 Комплект ясельный (майка, трусы)","CAB 3405 Комплект ясельный (майка, трусы) Голубой (068)-44",Голубой,(068)-44,5,159,Женский,"Рибана, 100% хлопок",,,Cherubino,0.38,
95,CAB 3405 ,CAB 3405 -3,Комплекты белья,"CAB 3405 Комплект ясельный (майка, трусы)","CAB 3405 Комплект ясельный (майка, трусы) Розовый (068)-44",Розовый,(068)-44,29,159,Женский,"Рибана, 100% хлопок",,,Cherubino,2.204,
96,CAB 3405 ,CAB 3405 -4,Комплекты белья,"CAB 3405 Комплект ясельный (майка, трусы)","CAB 3405 Комплект ясельный (майка, трусы) Бирюзовый (068)-44",Бирюзовый,(068)-44,6,159,Женский,"Рибана, 100% хлопок",,,Cherubino,0.456,
97,CAB 3405 ,CAB 3405 -5,Комплекты белья,"CAB 3405 Комплект ясельный (майка, трусы)","CAB 3405 Комплект ясельный (майка, трусы) Арбузный (062)-40",Арбузный,(062)-40,7,159,Женский,"Рибана, 100% хлопок",,,Cherubino,0.532,
98,CAB 3405 ,CAB 3405 -6,Комплекты белья,"CAB 3405 Комплект ясельный (майка, трусы)","CAB 3405 Комплект ясельный (майка, трусы) Бирюзовый (062)-40",Бирюзовый,(062)-40,4,159,Женский,"Рибана, 100% хлопок",,,Cherubino,0.304,
99,CAB 3405 ,CAB 3405 -7,Комплекты белья,"CAB 3405 Комплект ясельный (майка, трусы)","CAB 3405 Комплект ясельный (майка, трусы) Арбузный (068)-44",Арбузный,(068)-44,28,159,Женский,"Рибана, 100% хлопок",,,Cherubino,2.128,
100,CAB 3406,CAB 3406-1,Комплекты белья,"CAB 3406 Комплект ясельный (майка, трусы)","CAB 3406 Комплект ясельный (майка, трусы) Голубой (074)-48",Голубой,(074)-48,7,158,Женский,"Рибана, 100% хлопок",,,Cherubino,0.581,
101,CAB 3406,CAB 3406-2,Комплекты белья,"CAB 3406 Комплект ясельный (майка, трусы)","CAB 3406 Комплект ясельный (майка, трусы) Розовый (062)-40",Розовый,(062)-40,16,158,Женский,"Рибана, 100% хлопок",,,Cherubino,1.328,
102,CAB 3406,CAB 3406-3,Комплекты белья,"CAB 3406 Комплект ясельный (майка, трусы)","CAB 3406 Комплект ясельный (майка, трусы) Бирюзовый (068)-44",Бирюзовый,(068)-44,38,158,Женский,"Рибана, 100% хлопок",,,Cherubino,3.154,
103,CAB 3406,CAB 3406-4,Комплекты белья,"CAB 3406 Комплект ясельный (майка, трусы)","CAB 3406 Комплект ясельный (майка, трусы) Арбузный (074)-48",Арбузный,(074)-48,1,158,Женский,"Рибана, 100% хлопок",,,Cherubino,0.083,
104,CAB 3406,CAB 3406-5,Комплекты белья,"CAB 3406 Комплект ясельный (майка, трусы)","CAB 3406 Комплект ясельный (майка, трусы) Арбузный (068)-44",Арбузный,(068)-44,31,158,Женский,"Рибана, 100% хлопок",,,Cherubino,2.573,
105,CAB 3406,CAB 3406-6,Комплекты белья,"CAB 3406 Комплект ясельный (майка, трусы)","CAB 3406 Комплект ясельный (майка, трусы) Розовый (068)-44",Розовый,(068)-44,28,158,Женский,"Рибана, 100% хлопок",,,Cherubino,2.324,
106,CAB 3406,CAB 3406-7,Комплекты белья,"CAB 3406 Комплект ясельный (майка, трусы)","CAB 3406 Комплект ясельный (майка, трусы) Голубой (068)-44",Голубой,(068)-44,67,158,Женский,"Рибана, 100% хлопок",,,Cherubino,5.561,
107,CAB 3406,CAB 3406-8,Комплекты белья,"CAB 3406 Комплект ясельный (майка, трусы)","CAB 3406 Комплект ясельный (майка, трусы) Бирюзовый (062)-40",Бирюзовый,(062)-40,32,158,Женский,"Рибана, 100% хлопок",,,Cherubino,2.656,
108,CAB 3406,CAB 3406-9,Комплекты белья,"CAB 3406 Комплект ясельный (майка, трусы)","CAB 3406 Комплект ясельный (майка, трусы) Арбузный (062)-40",Арбузный,(062)-40,31,158,Женский,"Рибана, 100% хлопок",,,Cherubino,2.573,
109,CAB 3420 ,CAB 3420 -1,Комплекты белья,"CAB 3420 Комплект ясельный (майка, трусы)","CAB 3420 Комплект ясельный (майка, трусы) Салатовый (062)-40",Салатовый,(062)-40,1,161,Женский,"Кулирная гладь, 100% хлопок",,,Cherubino,,
110,CAB 3420 ,CAB 3420 -2,Комплекты белья,"CAB 3420 Комплект ясельный (майка, трусы)","CAB 3420 Комплект ясельный (майка, трусы) Белый-Желтый (074)-48",Белый-Желтый,(074)-48,19,161,Женский,"Кулирная гладь, 100% хлопок",,,Cherubino,,
111,CAB 3420 ,CAB 3420 -3,Комплекты белья,"CAB 3420 Комплект ясельный (майка, трусы)","CAB 3420 Комплект ясельный (майка, трусы) Белый-Желтый (062)-40",Белый-Желтый,(062)-40,3,161,Женский,"Кулирная гладь, 100% хлопок",,,Cherubino,,
112,CAB 3426 ,CAB 3426 -1,Комплекты белья,"CAB 3426 Комплект ясельный (майка, трусы)","CAB 3426 Комплект ясельный (майка, трусы) Оранжевый (животные) (068)-44",Оранжевый (животные),(068)-44,33,155,Мужской,"Рибана, 100% хлопок",,,Cherubino,,
113,CAB 3426 ,CAB 3426 -2,Комплекты белья,"CAB 3426 Комплект ясельный (майка, трусы)","CAB 3426 Комплект ясельный (майка, трусы) Оранжевый (животные) (074)-48",Оранжевый (животные),(074)-48,16,155,Мужской,"Рибана, 100% хлопок",,,Cherubino,,
