,Артикул,Артикул-1,Краткое наименование,Наименование,Полное наименование,Цвет,Размер,Кол-во,Цена,Пол,Материал,Состав,Страна производства,Бренд,Вес брутто,Коллекция
0,CAB 1381,CAB 1381-1,Трусы,CAB 1381 Трусы ясельные,CAB 1381 Трусы ясельные Экрю (062)-40,Экрю,(062)-40,24,105,Женский,"Рибана, 100% хлопок",,,Cherubino,0.96,
1,CAB 1381,CAB 1381-2,Трусы,CAB 1381 Трусы ясельные,CAB 1381 Трусы ясельные Ментоловый (062)-40,Ментоловый,(062)-40,9,105,Женский,"Рибана, 100% хлопок",,,Cherubino,0.36,
2,CAB 1381,CAB 1381-3,Трусы,CAB 1381 Трусы ясельные,CAB 1381 Трусы ясельные Розовый (068)-44,Розовый,(068)-44,24,105,Женский,"Рибана, 100% хлопок",,,Cherubino,0.96,
3,CAB 1381,CAB 1381-4,Трусы,CAB 1381 Трусы ясельные,CAB 1381 Трусы ясельные Экрю (068)-44,Экрю,(068)-44,26,105,Женский,"Рибана, 100% хлопок",,,Cherubino,1.04,
4,CAB 1381,CAB 1381-5,Трусы,CAB 1381 Трусы ясельные,CAB 1381 Трусы ясельные Ментоловый (068)-44,Ментоловый,(068)-44,19,105,Женский,"Рибана, 100% хлопок",,,Cherubino,0.76,
5,CAB 1381,CAB 1381-6,Трусы,CAB 1381 Трусы ясельные,CAB 1381 Трусы ясельные Розовый (062)-40,Розовый,(062)-40,25,105,Женский,"Рибана, 100% хлопок",,,Cherubino,1.0,
6,CAB 1381,CAB 1381-7,Трусы,CAB 1381 Трусы ясельные,CAB 1381 Трусы ясельные Розовый (086)-52,Розовый,(086)-52,1,105,Женский,"Рибана, 100% хлопок",,,Cherubino,0.04,
7,CAB 1382 ,CAB 1382 -1,Трусы,CAB 1382 Трусы ясельные,CAB 1382 Трусы ясельные Салатовый (068)-44,Салатовый,(068)-44,5,91,Мужской,"Рибана, 100% хлопок",,,Cherubino,0.2,
8,CAB 1382 ,CAB 1382 -2,Трусы,CAB 1382 Трусы ясельные,CAB 1382 Трусы ясельные Салатовый (062)-40,Салатовый,(062)-40,12,91,Мужской,"Рибана, 100% хлопок",,,Cherubino,0.48,
9,CAB 1385,CAB 1385-1,Трусы,CAB 1385 Трусы ясельные,CAB 1385 Трусы ясельные Голубой (086)-52,Голубой,(086)-52,2,98,Женский,"Рибана, 100% хлопок",,,Cherubino,0.082,
10,CAB 1385,CAB 1385-2,Трусы,CAB 1385 Трусы ясельные,CAB 1385 Трусы ясельные Бирюзовый (086)-52,Бирюзовый,(086)-52,2,98,Женский,"Рибана, 100% хлопок",,,Cherubino,0.082,
11,CAB 1386 ,CAB 1386 -1,Трусы,CAB 1386 Трусы ясельные,CAB 1386 Трусы ясельные Розовый (062)-40,Розовый,(062)-40,9,98,Женский,"Рибана, 100% хлопок",,,Cherubino,0.369,
12,CAB 1386 ,CAB 1386 -2,Трусы,CAB 1386 Трусы ясельные,CAB 1386 Трусы ясельные Арбузный (062)-40,Арбузный,(062)-40,23,98,Женский,"Рибана, 100% хлопок",,,Cherubino,0.943,
13,CAB 1386 ,CAB 1386 -3,Трусы,CAB 1386 Трусы ясельные,CAB 1386 Трусы ясельные Арбузный (068)-44,Арбузный,(068)-44,21,98,Женский,"Рибана, 100% хлопок",,,Cherubino,0.861,
14,CAB 1386 ,CAB 1386 -4,Трусы,CAB 1386 Трусы ясельные,CAB 1386 Трусы ясельные Бирюзовый (062)-40,Бирюзовый,(062)-40,25,98,Женский,"Рибана, 100% хлопок",,,Cherubino,1.025,
15,CAB 1386 ,CAB 1386 -5,Трусы,CAB 1386 Трусы ясельные,CAB 1386 Трусы ясельные Голубой (062)-40,Голубой,(062)-40,19,98,Женский,"Рибана, 100% хлопок",,,Cherubino,0.779,
16,CAB 1386 ,CAB 1386 -6,Трусы,CAB 1386 Трусы ясельные,CAB 1386 Трусы ясельные Бирюзовый (068)-44,Бирюзовый,(068)-44,18,98,Женский,"Рибана, 100% хлопок",,,Cherubino,0.738,
17,CAB 1399,CAB 1399-1,Трусы,CAB 1399 Трусы ясельные,CAB 1399 Трусы ясельные Оранжевый (животные) (068)-44,Оранжевый (животные),(068)-44,14,84,Мужской,"Рибана, 100% хлопок",,,Cherubino,0.574,
18,CAB 1399,CAB 1399-2,Трусы,CAB 1399 Трусы ясельные,CAB 1399 Трусы ясельные Желтый (пчелки) (068)-44,Желтый (пчелки),(068)-44,2,84,Мужской,"Рибана, 100% хлопок",,,Cherubino,0.082,
19,CAB 1399,CAB 1399-3,Трусы,CAB 1399 Трусы ясельные,CAB 1399 Трусы ясельные Розовый (пчелки) (062)-40,Розовый (пчелки),(062)-40,10,84,Мужской,"Рибана, 100% хлопок",,,Cherubino,0.41,
20,CAB 1399,CAB 1399-4,Трусы,CAB 1399 Трусы ясельные,CAB 1399 Трусы ясельные Оранжевый (животные) (062)-40,Оранжевый (животные),(062)-40,9,84,Мужской,"Рибана, 100% хлопок",,,Cherubino,0.369,
21,CAB 1399,CAB 1399-5,Трусы,CAB 1399 Трусы ясельные,CAB 1399 Трусы ясельные Желтый (пчелки) (062)-40,Желтый (пчелки),(062)-40,6,84,Мужской,"Рибана, 100% хлопок",,,Cherubino,0.246,
22,CAB 1399,CAB 1399-6,Трусы,CAB 1399 Трусы ясельные,CAB 1399 Трусы ясельные Розовый (пчелки) (068)-44,Розовый (пчелки),(068)-44,1,84,Мужской,"Рибана, 100% хлопок",,,Cherubino,0.041,
23,CAB 1399,CAB 1399-7,Трусы,CAB 1399 Трусы ясельные,CAB 1399 Трусы ясельные Голубой (животные) (068)-44,Голубой (животные),(068)-44,1,84,Мужской,"Рибана, 100% хлопок",,,Cherubino,0.041,
24,CAB 1496,CAB 1496-1,Трусы,CAB 1496 Трусы ясельные,CAB 1496 Трусы ясельные Персиковый (080)-52,Персиковый,(080)-52,34,119,Женский,"рибана, 100% хлопок",,,Cherubino,1.564,
25,CAB 1496,CAB 1496-2,Трусы,CAB 1496 Трусы ясельные,CAB 1496 Трусы ясельные Персиковый (086)-52,Персиковый,(086)-52,14,119,Женский,"рибана, 100% хлопок",,,Cherubino,0.644,
26,CAB 1496,CAB 1496-3,Трусы,CAB 1496 Трусы ясельные,CAB 1496 Трусы ясельные Розовый (080)-52,Розовый,(080)-52,41,119,Женский,"рибана, 100% хлопок",,,Cherubino,1.886,
27,CAB 1496,CAB 1496-4,Трусы,CAB 1496 Трусы ясельные,CAB 1496 Трусы ясельные Розовый (062)-40,Розовый,(062)-40,20,119,Женский,"рибана, 100% хлопок",,,Cherubino,0.92,
28,CAB 1496,CAB 1496-5,Трусы,CAB 1496 Трусы ясельные,CAB 1496 Трусы ясельные Св.розовый (074)-48,Св.розовый,(074)-48,51,119,Женский,"рибана, 100% хлопок",,,Cherubino,2.346,
29,CAB 1496,CAB 1496-6,Трусы,CAB 1496 Трусы ясельные,CAB 1496 Трусы ясельные Св.розовый (086)-52,Св.розовый,(086)-52,31,119,Женский,"рибана, 100% хлопок",,,Cherubino,1.426,
30,CAB 1496,CAB 1496-7,Трусы,CAB 1496 Трусы ясельные,CAB 1496 Трусы ясельные Розовый (086)-52,Розовый,(086)-52,47,119,Женский,"рибана, 100% хлопок",,,Cherubino,2.162,
31,CAB 1496,CAB 1496-8,Трусы,CAB 1496 Трусы ясельные,CAB 1496 Трусы ясельные Розовый (068)-44,Розовый,(068)-44,19,119,Женский,"рибана, 100% хлопок",,,Cherubino,0.874,
32,CAB 1496,CAB 1496-9,Трусы,CAB 1496 Трусы ясельные,CAB 1496 Трусы ясельные Персиковый (074)-48,Персиковый,(074)-48,41,119,Женский,"рибана, 100% хлопок",,,Cherubino,1.886,
33,CAB 1496,CAB 1496-10,Трусы,CAB 1496 Трусы ясельные,CAB 1496 Трусы ясельные Св.розовый (062)-40,Св.розовый,(062)-40,23,119,Женский,"рибана, 100% хлопок",,,Cherubino,1.058,
34,CAB 1496,CAB 1496-11,Трусы,CAB 1496 Трусы ясельные,CAB 1496 Трусы ясельные Персиковый (062)-40,Персиковый,(062)-40,11,119,Женский,"рибана, 100% хлопок",,,Cherubino,0.506,
35,CAB 1496,CAB 1496-12,Трусы,CAB 1496 Трусы ясельные,CAB 1496 Трусы ясельные Розовый (074)-48,Розовый,(074)-48,42,119,Женский,"рибана, 100% хлопок",,,Cherubino,1.932,
36,CAB 1496,CAB 1496-13,Трусы,CAB 1496 Трусы ясельные,CAB 1496 Трусы ясельные Св.розовый (080)-52,Св.розовый,(080)-52,36,119,Женский,"рибана, 100% хлопок",,,Cherubino,1.656,
37,CAB 1496,CAB 1496-14,Трусы,CAB 1496 Трусы ясельные,CAB 1496 Трусы ясельные Св.розовый (068)-44,Св.розовый,(068)-44,40,119,Женский,"рибана, 100% хлопок",,,Cherubino,1.84,
38,CAB 1496,CAB 1496-15,Трусы,CAB 1496 Трусы ясельные,CAB 1496 Трусы ясельные Персиковый (068)-44,Персиковый,(068)-44,26,119,Женский,"рибана, 100% хлопок",,,Cherubino,1.196,
39,CAB 1502,CAB 1502-1,Трусы,CAB 1502 Трусы ясельные,CAB 1502 Трусы ясельные Розовый (080)-48,Розовый,(080)-48,5,88,Женский,"рибана, 100% хлопок",,,Cherubino,0.14,
40,CAB 2275,CAB 2275-1,Майки бельевые,CAB 2275 Майка ясельная,CAB 2275 Майка ясельная Ментоловый (086)-52,Ментоловый,(086)-52,12,105,Женский,"Рибана, 100% хлопок",,,Cherubino,0.528,
41,CAB 2275,CAB 2275-2,Майки бельевые,CAB 2275 Майка ясельная,CAB 2275 Майка ясельная Ментоловый (068)-44,Ментоловый,(068)-44,1,105,Женский,"Рибана, 100% хлопок",,,Cherubino,0.044,
42,CAB 2275,CAB 2275-3,Майки бельевые,CAB 2275 Майка ясельная,CAB 2275 Майка ясельная Экрю (062)-40,Экрю,(062)-40,21,105,Женский,"Рибана, 100% хлопок",,,Cherubino,0.924,
43,CAB 2275,CAB 2275-4,Майки бельевые,CAB 2275 Майка ясельная,CAB 2275 Майка ясельная Экрю (068)-44,Экрю,(068)-44,7,105,Женский,"Рибана, 100% хлопок",,,Cherubino,0.308,
44,CAB 2275,CAB 2275-5,Майки бельевые,CAB 2275 Майка ясельная,CAB 2275 Майка ясельная Экрю (074)-48,Экрю,(074)-48,19,105,Женский,"Рибана, 100% хлопок",,,Cherubino,0.836,
45,CAB 2275,CAB 2275-6,Майки бельевые,CAB 2275 Майка ясельная,CAB 2275 Майка ясельная Экрю (086)-52,Экрю,(086)-52,5,105,Женский,"Рибана, 100% хлопок",,,Cherubino,0.22,
46,CAB 2275,CAB 2275-7,Майки бельевые,CAB 2275 Майка ясельная,CAB 2275 Майка ясельная Розовый (074)-48,Розовый,(074)-48,1,105,Женский,"Рибана, 100% хлопок",,,Cherubino,0.044,
47,CAB 2275,CAB 2275-8,Майки бельевые,CAB 2275 Майка ясельная,CAB 2275 Майка ясельная Розовый (086)-52,Розовый,(086)-52,17,105,Женский,"Рибана, 100% хлопок",,,Cherubino,0.748,
48,CAB 2275,CAB 2275-9,Майки бельевые,CAB 2275 Майка ясельная,CAB 2275 Майка ясельная Экрю (080)-52,Экрю,(080)-52,10,105,Женский,"Рибана, 100% хлопок",,,Cherubino,0.44,
49,CAB 2275,CAB 2275-10,Майки бельевые,CAB 2275 Майка ясельная,CAB 2275 Майка ясельная Розовый (062)-40,Розовый,(062)-40,27,105,Женский,"Рибана, 100% хлопок",,,Cherubino,1.188,
50,CAB 2275,CAB 2275-11,Майки бельевые,CAB 2275 Майка ясельная,CAB 2275 Майка ясельная Ментоловый (062)-40,Ментоловый,(062)-40,12,105,Женский,"Рибана, 100% хлопок",,,Cherubino,0.528,
51,CAB 2275,CAB 2275-12,Майки бельевые,CAB 2275 Майка ясельная,CAB 2275 Майка ясельная Розовый (080)-52,Розовый,(080)-52,2,105,Женский,"Рибана, 100% хлопок",,,Cherubino,0.088,
52,CAB 2276,CAB 2276-1,Майки бельевые,CAB 2276 Майка ясельная,CAB 2276 Майка ясельная Белый (068)-44,Белый,(068)-44,25,100,Мужской,"Рибана, 100% хлопок",,,Cherubino,1.075,
53,CAB 2276,CAB 2276-2,Майки бельевые,CAB 2276 Майка ясельная,CAB 2276 Майка ясельная Голубой (074)-48,Голубой,(074)-48,20,100,Мужской,"Рибана, 100% хлопок",,,Cherubino,0.86,
54,CAB 2276,CAB 2276-3,Майки бельевые,CAB 2276 Майка ясельная,CAB 2276 Майка ясельная Салатовый (062)-40,Салатовый,(062)-40,37,100,Мужской,"Рибана, 100% хлопок",,,Cherubino,1.591,
55,CAB 2276,CAB 2276-4,Майки бельевые,CAB 2276 Майка ясельная,CAB 2276 Майка ясельная Голубой (062)-40,Голубой,(062)-40,74,100,Мужской,"Рибана, 100% хлопок",,,Cherubino,3.182,
56,CAB 2276,CAB 2276-5,Майки бельевые,CAB 2276 Майка ясельная,CAB 2276 Майка ясельная Белый (062)-40,Белый,(062)-40,35,100,Мужской,"Рибана, 100% хлопок",,,Cherubino,1.505,
57,CAB 2276,CAB 2276-6,Майки бельевые,CAB 2276 Майка ясельная,CAB 2276 Майка ясельная Голубой (068)-44,Голубой,(068)-44,72,100,Мужской,"Рибана, 100% хлопок",,,Cherubino,3.096,
58,CAB 2276,CAB 2276-7,Майки бельевые,CAB 2276 Майка ясельная,CAB 2276 Майка ясельная Салатовый (068)-44,Салатовый,(068)-44,20,100,Мужской,"Рибана, 100% хлопок",,,Cherubino,0.86,
59,CAB 2284,CAB 2284-1,Майки бельевые,CAB 2284 Майка ясельная,CAB 2284 Майка ясельная Голубой (074)-48,Голубой,(074)-48,5,93,Женский,"Рибана, 100% хлопок",,,Cherubino,0.22,
60,CAB 2285,CAB 2285-1,Майки бельевые,CAB 2285 Майка ясельная,CAB 2285 Майка ясельная Арбузный (068)-44,Арбузный,(068)-44,38,94,Женский,"Рибана, 100% хлопок",,,Cherubino,1.71,
61,CAB 2285,CAB 2285-2,Майки бельевые,CAB 2285 Майка ясельная,CAB 2285 Майка ясельная Бирюзовый (074)-48,Бирюзовый,(074)-48,27,94,Женский,"Рибана, 100% хлопок",,,Cherubino,1.215,
62,CAB 2285,CAB 2285-3,Майки бельевые,CAB 2285 Майка ясельная,CAB 2285 Майка ясельная Розовый (062)-40,Розовый,(062)-40,30,94,Женский,"Рибана, 100% хлопок",,,Cherubino,1.35,
63,CAB 2285,CAB 2285-4,Майки бельевые,CAB 2285 Майка ясельная,CAB 2285 Майка ясельная Бирюзовый (062)-40,Бирюзовый,(062)-40,34,94,Женский,"Рибана, 100% хлопок",,,Cherubino,1.53,
64,CAB 2285,CAB 2285-5,Майки бельевые,CAB 2285 Майка ясельная,CAB 2285 Майка ясельная Розовый (068)-44,Розовый,(068)-44,24,94,Женский,"Рибана, 100% хлопок",,,Cherubino,1.08,
65,CAB 2296 ,CAB 2296 -1,Майки бельевые,CAB 2296 Майка ясельная,CAB 2296 Майка ясельная Желтый (пчелки) (068)-44,Желтый (пчелки),(068)-44,28,84,Женский,"Рибана, 100% хлопок",,,Cherubino,1.204,
66,CAB 2296 ,CAB 2296 -2,Майки бельевые,CAB 2296 Майка ясельная,CAB 2296 Майка ясельная Желтый (пчелки) (074)-48,Желтый (пчелки),(074)-48,43,84,Женский,"Рибана, 100% хлопок",,,Cherubino,1.849,
