,Артикул,Артикул-1,Краткое наименование,Наименование,Полное наименование,Цвет,Размер,Кол-во,Цена,Пол,Материал,Состав,Страна производства,Бренд,Вес брутто,Коллекция
1614,CSK 62431,CH 8154-21,Футболки,CSK 62431 (226) Футболка для девочки,CSK 62431 (226) Футболка для девочки Св.розовый (104)-56,Св.розовый,(104)-56,3,222,Женский,"кулирная гладь, 92% хлопок, 8% эластан",,,Cherubino,0.246,Magic Butterflies
1615,CSK 62431,CH 8154-22,Футболки,CSK 62431 (226) Футболка для девочки,CSK 62431 (226) Футболка для девочки Лаванда (092)-52,Лаванда,(092)-52,1,222,Женский,"кулирная гладь, 92% хлопок, 8% эластан",,,Cherubino,0.082,Magic Butterflies
1616,CSJ 62388,CH 8154-23,Футболки,CSJ 62388 (238) Футболка для мальчика,CSJ 62388 (238) Футболка для мальчика Белый (128)-64,Белый,(128)-64,3,223,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.324,Sea Adventure
1617,CSJ 62408,CH 8154-24,Футболки,CSJ 62408 (233) Футболка для девочки,CSJ 62408 (233) Футболка для девочки Белый-Т.синий (152)-80,Белый-Т.синий,(152)-80,2,278,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,0.204,Sea World
1618,CSK 62368,CH 8154-25,Футболки,CSK 62368 (223) Футболка для девочки,CSK 62368 (223) Футболка для девочки Белый-Т.синий (098)-56,Белый-Т.синий,(098)-56,2,216,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,0.14,Cherry Girl
1619,CSK 62417,CH 8154-26,Футболки,CSK 62417 (231) Футболка для мальчика,CSK 62417 (231) Футболка для мальчика Красный (128)-64,Красный,(128)-64,3,241,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.255,Скорость
1620,CSK 62418,CH 8154-27,Футболки,CSK 62418 (231) Футболка для мальчика,CSK 62418 (231) Футболка для мальчика Салатовый (110)-60,Салатовый,(110)-60,1,180,Мужской,"кулирная гладь, 97% хлопок, 3% п/э",,,Cherubino,0.074,Скорость
1621,CK 7T117,CH 8154-28,Шорты,CK 7T117 (223) Шорты для девочки,CK 7T117 (223) Шорты для девочки Красный (110)-60,Красный,(110)-60,3,245,Женский,"поплин, 100% хлопок",,,Cherubino,0.219,Cherry Girl
1622,CAK 2347,CAJ 2122 -1,Майки бельевые,CAK 2347 Майка для мальчика,CAK 2347 Майка для мальчика Синий (122-128)-64,Синий,(122-128)-64,1,116,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.05,
1623,CAK 2347,CAJ 2122 -2,Майки бельевые,CAK 2347 Майка для мальчика,CAK 2347 Майка для мальчика Св.серый  (110-116)-60,Св.серый ,(110-116)-60,4,116,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.2,
1624,CSK 62461,CAJ 2122 -3,Платья,CSK 62461 (222) Платье для девочки,CSK 62461 (222) Платье для девочки Фуксия (134)-68,Фуксия,(134)-68,2,304,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,0.218,Tropical Mood
1625,CSJ 62364,CAJ 2122 -4,Футболки,CSJ 62364 (237) Футболка для мальчика,CSJ 62364 (237) Футболка для мальчика Оранжевый (158)-80,Оранжевый,(158)-80,1,243,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.11,Stay Wild
1626,CSJ 62364,CAJ 2122 -5,Футболки,CSJ 62364 (237) Футболка для мальчика,CSJ 62364 (237) Футболка для мальчика Экрю (134)-68,Экрю,(134)-68,3,243,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.33,Stay Wild
1627,CSJ 62364,CAJ 2242 -1,Футболки,CSJ 62364 (237) Футболка для мальчика,CSJ 62364 (237) Футболка для мальчика Мята (140)-72,Мята,(140)-72,3,243,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.33,Stay Wild
1628,CSK 7878,CAJ 2242 -2,Шорты,CSK 7878 (231) Шорты для мальчика,CSK 7878 (231) Шорты для мальчика Синий (104)-56,Синий,(104)-56,2,295,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.254,Скорость
1629,CSK 62399,CAJ 2242 -3,Футболки,CSK 62399 (230) Футболка для мальчика,CSK 62399 (230) Футболка для мальчика Желтый-Белый (110)-60,Желтый-Белый,(110)-60,3,223,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.237,Surf up
1630,CAJ 9856 ,CAJ 2242 -4,Комплекты,"CAJ 9856 Комплект для мальчика (футболка, шорты)","CAJ 9856 Комплект для мальчика (футболка, шорты) Желтый-Т.синий (098)-56",Желтый-Т.синий,(098)-56,15,356,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,2.475,Спортивная коллекция
1631,CAJ 9856 ,CAJ 2242 -5,Комплекты,"CAJ 9856 Комплект для мальчика (футболка, шорты)","CAJ 9856 Комплект для мальчика (футболка, шорты) Красный-Черный (110)-60",Красный-Черный,(110)-60,4,356,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.66,Спортивная коллекция
1632,CAK 1494,CAJ 2242 -6,Трусы,CAK 1494 Трусы для девочки,CAK 1494 Трусы для девочки Св.бирюзовый (098-104)-56,Св.бирюзовый,(098-104)-56,81,73,Женский,"рибана, 100% хлопок",,,Cherubino,2.592,
1633,CAJ 6931,CAJ 2242 -7,Футболки,CAJ 6931-1 Футболка детская,CAJ 6931-1 Футболка детская Серый меланж (134)-68,Серый меланж,(134)-68,47,189,Мужской,"кулирная гладь, 80% хлопок, 20% п/э",,,Cherubino,5.264,Спортивная коллекция
1634,CAJ 62442,CAJ 2242 -8,Лонгсливы,CAJ 62442 Футболка для мальчика,CAJ 62442 Футболка для мальчика Черный (128)-64,Черный,(128)-64,34,206,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,3.502,Школьная коллекция
1635,CAK 7587,CAJ 2242 -9,Шорты,CAK 7587-1 Шорты для мальчика,CAK 7587-1 Шорты для мальчика Серый меланж (092)-52,Серый меланж,(092)-52,13,192,Мужской,"кулирная гладь, 80% хлопок, 20% п/э",,,Cherubino,1.196,Спортивная коллекция
1636,CAJ 62445 ,CAJ 2242 -10,Водолазки,CAJ 62445 Водолазка для девочки,CAJ 62445 Водолазка для девочки Голубой (158)-80,Голубой,(158)-80,8,308,Женский,"кашкорсе, 95% хлопок, 5% эластан",,,Cherubino,1.352,Школьная коллекция
1637,CAJ 62446 ,CAJ 2242 -11,Блузки,CAJ 62446 Джемпер для девочки,CAJ 62446 Джемпер для девочки Белый (158)-80,Белый,(158)-80,11,307,Женский,"кулирная гладь, 92% хлопок, 8% элатсан; сетка, 90% нейлон, 10% эластан",,,Cherubino,1.716,Школьная коллекция
1638,CAJ 62449,CAJ 2242 -12,Блузки,CAJ 62449 Джемпер для девочки,CAJ 62449 Джемпер для девочки Белый (134)-68,Белый,(134)-68,2,247,Женский,"кулирная гладь, 92% хлопок, 8% элатсан; сетка, 90% нейлон, 10% эластан",,,Cherubino,0.22,Школьная коллекция
1639,CAJ 62455,CAJ 2242 -13,Блузки,CAJ 62455 Джемпер для девочки,CAJ 62455 Джемпер для девочки Белый-Т.синий (164)-84,Белый-Т.синий,(164)-84,5,309,Женский,"кулирная гладь, 92% хлопок, 8% эластан",,,Cherubino,0.56,Школьная коллекция
1640,CAJ 62456,CAJ 2242 -14,Блузки,CAJ 62456 Джемпер для девочки,CAJ 62456 Джемпер для девочки Св.розовый (134)-68,Св.розовый,(134)-68,1,314,Женский,"кулирная гладь, 92% хлопок, 8% эластан",,,Cherubino,0.143,Школьная коллекция
1641,CAJ 62456,CAJ 2242 -15,Блузки,CAJ 62456 Джемпер для девочки,CAJ 62456 Джемпер для девочки Серебро (152)-80,Серебро,(152)-80,24,314,Женский,"кулирная гладь, 92% хлопок, 8% эластан",,,Cherubino,3.432,Школьная коллекция
1642,CAJ 62459 ,CAJ 2242 -16,Блузки,CAJ 62459 Джемпер для девочки,CAJ 62459 Джемпер для девочки Белый (158)-80,Белый,(158)-80,38,296,Женский,"кулирная гладь, 92% хлопок, 8% эластан",,,Cherubino,5.776,Школьная коллекция
1643,CAK 62444,CAJ 2242 -17,Водолазки,CAK 62444 Водолазка для девочки,CAK 62444 Водолазка для девочки Белый (104)-56,Белый,(104)-56,37,238,Женский,"кашкорсе, 95% хлопок, 5% эластан",,,Cherubino,4.255,Школьная коллекция
1644,CAJ 61627,CAJ 2242 -18,Рубашки,CAJ 61627-1 Рубашка-поло для мальчика,CAJ 61627-1 Рубашка-поло для мальчика Серый меланж (152)-80,Серый меланж,(152)-80,21,490,Мужской,"кулирная гладь, 80% хлопок, 20% п/э",,,Cherubino,3.99,Школьная коллекция
1645,CAJ 61627,CAJ 2242 -19,Рубашки,CAJ 61627-1 Рубашка-поло для мальчика,CAJ 61627-1 Рубашка-поло для мальчика Серый меланж (164)-84,Серый меланж,(164)-84,7,490,Мужской,"кулирная гладь, 80% хлопок, 20% п/э",,,Cherubino,1.33,Школьная коллекция
1646,CAJ 5447 ,CAJ 4122 -1,Пижамы,"CAJ 5447 Комплект для мальчика (футболка, шорты)","CAJ 5447 Комплект для мальчика (футболка, шорты) Красный-Серый (140)-72",Красный-Серый,(140)-72,7,369,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,1.344,
1647,CAJ 5431 ,CAJ 4122 -2,Сорочки,"CAJ 5431 Платье модель ""туника"" для девочки","CAJ 5431 Платье модель ""туника"" для девочки Розовый (164)-84",Розовый,(164)-84,1,255,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,0.127,
