,Артикул,Артикул-1,Краткое наименование,Наименование,Полное наименование,Цвет,Размер,Кол-во,Цена,Пол,Материал,Состав,Страна производства,Бренд,Вес брутто,Коллекция
0,CAK 2303 ,CAK 2303 -1,Майки бельевые,CAK 2303 Майка детская,CAK 2303 Майка детская Белый (098-104)-56,Белый,(098-104)-56,498,83,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,21.912,
1,CSJ 62352,CAK 2303 -2,Лонгсливы,CSJ 62352 (236) Джемпер для мальчика,CSJ 62352 (236) Джемпер для мальчика Серый меланж (146)-76,Серый меланж,(146)-76,1,416,Мужской,"кулирная гладь повышенной плотности, 80% хлопок, 20% п/э",,,Cherubino,0.182,Muzic Party
2,CSJ 62352,CAK 2303 -3,Лонгсливы,CSJ 62352 (236) Джемпер для мальчика,CSJ 62352 (236) Джемпер для мальчика Серый меланж (158)-80,Серый меланж,(158)-80,3,416,Мужской,"кулирная гладь повышенной плотности, 80% хлопок, 20% п/э",,,Cherubino,0.546,Muzic Party
3,CSJ 62353,CAK 2303 -4,Лонгсливы,CSJ 62353 (236) Джемпер для мальчика,CSJ 62353 (236) Джемпер для мальчика Красный (134)-68,Красный,(134)-68,15,283,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,2.25,Muzic Party
4,CSJ 62353,CSJ 62352-1,Лонгсливы,CSJ 62353 (236) Джемпер для мальчика,CSJ 62353 (236) Джемпер для мальчика Синий (134)-68,Синий,(134)-68,5,283,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.75,Muzic Party
5,CSJ 62353,CSJ 62352-2,Лонгсливы,CSJ 62353 (236) Джемпер для мальчика,CSJ 62353 (236) Джемпер для мальчика Синий (152)-80,Синий,(152)-80,12,283,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,1.8,Muzic Party
6,CSJ 62353,CSJ 62352-3,Лонгсливы,CSJ 62353 (236) Джемпер для мальчика,CSJ 62353 (236) Джемпер для мальчика Синий (164)-84,Синий,(164)-84,4,283,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.6,Muzic Party
7,CSJ 62380,CSJ 62352-4,Лонгсливы,CSJ 62380 (232) Джемпер для девочки,CSJ 62380 (232) Джемпер для девочки Бирюзовый (134)-68,Бирюзовый,(134)-68,4,350,Женский,"кулирная гладь, 97% хлопок, 3% п/э",,,Cherubino,0.572,Girl Power
8,CSJ 62382,CSJ 62352-5,Платья,"CSJ 62382 (232) Платье типа ""туника"" для девочки","CSJ 62382 (232) Платье типа ""туника"" для девочки Арбузный (128)-64",Арбузный,(128)-64,1,288,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,0.137,Girl Power
9,CSK 62338,CSJ 62352-6,Лонгсливы,CSK 62338 (228) Джемпер для мальчика,CSK 62338 (228) Джемпер для мальчика Черный (104)-56,Черный,(104)-56,1,325,Мужской,"футер петля, 100% хлопок",,,Cherubino,0.166,Sport Spirit
10,CSK 62338,CSJ 62352-7,Лонгсливы,CSK 62338-1 (228) Джемпер для мальчика,CSK 62338-1 (228) Джемпер для мальчика Т.серый меланж (122)-64,Т.серый меланж,(122)-64,1,325,Мужской,"футер петля, 70% хлопок, 30% п/э",,,Cherubino,0.164,Sport Spirit
11,CSK 62339,CSJ 62352-8,Лонгсливы,CSK 62339 (228) Джемпер для мальчика,CSK 62339 (228) Джемпер для мальчика Серый меланж (098)-56,Серый меланж,(098)-56,1,220,Мужской,"кулирная гладь повышенной плотности, 80% хлопок, 20% п/э",,,Cherubino,0.118,Sport Spirit
12,CSK 62340,CSJ 62352-9,Лонгсливы,CSK 62340 (228) Джемпер для мальчика,CSK 62340 (228) Джемпер для мальчика Красный (092)-52,Красный,(092)-52,2,214,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.196,Sport Spirit
13,CSK 62373,CSJ 62352-10,Лонгсливы,CSK 62373 (224) Джемпер для девочки,CSK 62373 (224) Джемпер для девочки Арбузный (104)-56,Арбузный,(104)-56,4,242,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,0.464,Girl Power
14,CSK 62373,CSJ 62352-11,Лонгсливы,CSK 62373 (224) Джемпер для девочки,CSK 62373 (224) Джемпер для девочки Морская волна (110)-60,Морская волна,(110)-60,5,242,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,0.58,Girl Power
15,CSK 7861,CSJ 62353-1,Брюки,CSK 7861 (224) Брюки для девочки,CSK 7861 (224) Брюки для девочки Морская волна (104)-56,Морская волна,(104)-56,4,368,Женский,"футер петля, 75% хлопок, 25% п/э",,,Cherubino,0.752,Girl Power
16,CH 8193,CSJ 62353-2,Головные уборы,"CH 8193 (224) Комплект для девочки (шапка, снуд)","CH 8193 (224) Комплект для девочки (шапка, снуд) Арбузный 54-56 (m)",Арбузный,54-56 (m),4,282,Женский,"кулирная гладь, 92% хлопок, 8% эластан",,,Cherubino,0.44,Girl Power
17,CH 8195,CSJ 62353-3,Головные уборы,"CH 8195 (232) Комплект для девочки (шапка, снуд)","CH 8195 (232) Комплект для девочки (шапка, снуд) Салатовый 54-56 (m)",Салатовый,54-56 (m),4,234,Женский,"рибана, 92% хлопок, 3% п/э, 5% эластан",,,Cherubino,0.412,Girl Power
18,CSK 9846,CSJ 62353-4,Комплекты,"CSK 9846 (225) Комплект для девочки (платье типа ""туника"", бриджи)","CSK 9846 (225) Комплект для девочки (платье типа ""туника"", бриджи) Св.желтый (134)-68",Св.желтый,(134)-68,5,370,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,0.68,Bohemian Life
19,CSJ 9834,CSJ 62353-5,Комплекты,"CSJ 9834 (238) Комплект для мальчика (футболка, шорты)","CSJ 9834 (238) Комплект для мальчика (футболка, шорты) Желтый (128)-64",Желтый,(128)-64,3,421,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.669,Sea Adventure
20,CSJ 62410,CSJ 62353-6,Платья,"CSJ 62410 (233) Платье типа ""туника"" для девочки","CSJ 62410 (233) Платье типа ""туника"" для девочки Голубой (146)-76",Голубой,(146)-76,1,236,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,0.099,Sea World
21,CSJ 62410,CSJ 62353-7,Платья,"CSJ 62410 (233) Платье типа ""туника"" для девочки","CSJ 62410 (233) Платье типа ""туника"" для девочки Желтый (128)-64",Желтый,(128)-64,3,236,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,0.297,Sea World
22,CSK 62426,CSJ 62353-8,Платья,"CSK 62426 (225) Платье типа ""туника"" для девочки","CSK 62426 (225) Платье типа ""туника"" для девочки Св.желтый (128)-64",Св.желтый,(128)-64,1,262,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,0.087,Bohemian Life
23,CAK 1483 ,CSJ 62353-9,Трусы,CAK 1483 Трусы для девочки,CAK 1483 Трусы для девочки Св.желтый (092)-52,Св.желтый,(092)-52,5,87,Женский,"рибана, 100% хлопок",,,Cherubino,0.16,
24,CSJ 7879,CSJ 62353-10,Бриджи,CSJ 7879 (234) Бриджи для девочки,CSJ 7879 (234) Бриджи для девочки Коралловый (128)-64,Коралловый,(128)-64,1,181,Женский,"кулирная гладь, 92% хлопок, 8% эластан",,,Cherubino,0.105,Amazing Africa
25,CSK 7849,CSJ 62353-11,Бриджи,CSK 7849 (222) Бриджи для девочки,CSK 7849 (222) Бриджи для девочки Лиловый (098)-56,Лиловый,(098)-56,6,150,Женский,"кулирная гладь, 92% хлопок, 8% эластан",,,Cherubino,0.402,Tropical Mood
26,CSK 7849,CSJ 62353-12,Бриджи,CSK 7849 (222) Бриджи для девочки,CSK 7849 (222) Бриджи для девочки Лиловый (128)-64,Лиловый,(128)-64,6,193,Женский,"кулирная гладь, 92% хлопок, 8% эластан",,,Cherubino,0.402,Tropical Mood
27,CSK 7850,CSJ 62353-13,Бриджи,CSK 7850 (222) Бриджи для девочки,CSK 7850 (222) Бриджи для девочки Лиловый (110)-60,Лиловый,(110)-60,5,152,Женский,"кулирная гладь, 92% хлопок, 8% эластан",,,Cherubino,0.38,Tropical Mood
28,CSK 5413,CSJ 62353-14,Пижамы,"CSK 5413 Комплект для мальчика (футболка, брюки)","CSK 5413 Комплект для мальчика (футболка, брюки) Оранжевый (110)-60",Оранжевый,(110)-60,2,316,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.32,
29,CAK 1477,CSJ 62380-1,Трусы,CAK 1477 Трусы-боксеры для мальчика,CAK 1477 Трусы-боксеры для мальчика Т.синий (092)-52,Т.синий,(092)-52,4,122,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.18,
30,CSK 5402,CSJ 62380-2,Пижамы,"CSK 5402 Комплект для девочки (футболка, шорты)","CSK 5402 Комплект для девочки (футболка, шорты) Св.персиковый (092)-52",Св.персиковый,(092)-52,1,277,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,0.107,
31,CSJ 62409,CSJ 62380-3,Футболки,CSJ 62409 (233) Футболка для девочки,CSJ 62409 (233) Футболка для девочки Т.синий (128)-64,Т.синий,(128)-64,3,259,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,0.282,Sea World
32,CSK 62431,CSJ 62380-4,Футболки,CSK 62431 (226) Футболка для девочки,CSK 62431 (226) Футболка для девочки Лаванда (122)-64,Лаванда,(122)-64,3,222,Женский,"кулирная гладь, 92% хлопок, 8% эластан",,,Cherubino,0.246,Magic Butterflies
33,CAK 1480,CSJ 62380-5,Трусы,CAK 1480 Трусы для мальчика,CAK 1480 Трусы для мальчика Синий (122-128)-64,Синий,(122-128)-64,8,102,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.288,
34,CSJ 62388,CSJ 62380-6,Футболки,CSJ 62388 (238) Футболка для мальчика,CSJ 62388 (238) Футболка для мальчика Желтый (146)-76,Желтый,(146)-76,3,223,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.324,Sea Adventure
35,CSJ 62412,CSJ 62380-7,Футболки,CSJ 62412 (239) Футболка для мальчика,CSJ 62412 (239) Футболка для мальчика Экрю (152)-80,Экрю,(152)-80,2,211,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.218,Extreme
36,CSK 62370,CSJ 62380-8,Футболки,CSK 62370 (223) Футболка для девочки,CSK 62370 (223) Футболка для девочки Т.синий (110)-60,Т.синий,(110)-60,4,184,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,0.288,Cherry Girl
37,CSJ 62363,CSJ 62380-9,Футболки,CSJ 62363 (237) Футболка для мальчика,CSJ 62363 (237) Футболка для мальчика Желтый (134)-68,Желтый,(134)-68,2,231,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.226,Stay Wild
38,CSJ 62363,CSJ 62380-10,Футболки,CSJ 62363 (237) Футболка для мальчика,CSJ 62363 (237) Футболка для мальчика Оливковый (146)-76,Оливковый,(146)-76,4,231,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.452,Stay Wild
39,CSK 62415,CSJ 62380-11,Футболки,CSK 62415 (231) Футболка для мальчика,CSK 62415 (231) Футболка для мальчика Т.синий (122)-64,Т.синий,(122)-64,3,181,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.246,Скорость
40,CAJ 61166,CSJ 62382-1,Водолазки,CAJ 61166-1 Водолазка для мальчика,CAJ 61166-1 Водолазка для мальчика Серый меланж (164)-84,Серый меланж,(164)-84,46,269,Мужской,"кашкорсе, 76% хлопок, 19% п/э, 5% эластан",,,Cherubino,7.866,Школьная коллекция
41,CAJ 62443 ,CSJ 62382-2,Водолазки,CAJ 62443 Джемпер для мальчика,CAJ 62443 Джемпер для мальчика Василек (122)-64,Василек,(122)-64,2,235,Мужской,"рибана, 95% хлопок, 5% эластан",,,Cherubino,0.276,Школьная коллекция
42,CAJ 62443 ,CSJ 62382-3,Водолазки,CAJ 62443 Джемпер для мальчика,CAJ 62443 Джемпер для мальчика Изумрудный (104)-56,Изумрудный,(104)-56,9,235,Мужской,"рибана, 95% хлопок, 5% эластан",,,Cherubino,1.242,Школьная коллекция
43,CAJ 62443,CSK 62338-1,Водолазки,CAJ 62443-1 Джемпер для мальчика,CAJ 62443-1 Джемпер для мальчика Серый меланж (116)-60,Серый меланж,(116)-60,46,235,Мужской,"рибана, 76% хлопок, 19% п/э, 5% эластан",,,Cherubino,6.394,Школьная коллекция
44,CAJ 9856 ,CSK 62338-2,Комплекты,"CAJ 9856 Комплект для мальчика (футболка, шорты)","CAJ 9856 Комплект для мальчика (футболка, шорты) Красный-Черный (116)-60",Красный-Черный,(116)-60,4,356,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.66,Спортивная коллекция
45,CAJ 4182 ,CSK 62338-3,Купальники,CAJ 4182 Купальник гимнастический,CAJ 4182 Купальник гимнастический Черный (164)-84,Черный,(164)-84,147,227,Женский,"кулирная гладь, 92% хлопок, 8% эластан",,,Cherubino,16.023,Спортивная коллекция
46,CAJ 62442,CSK 62338-4,Лонгсливы,CAJ 62442-1 Футболка для мальчика,CAJ 62442-1 Футболка для мальчика Серый меланж (098)-56,Серый меланж,(098)-56,24,206,Мужской,"кулирная гладь, 80% хлопок, 20% п/э",,,Cherubino,2.52,Школьная коллекция
47,CAJ 62445 ,CSK 62338-5,Водолазки,CAJ 62445 Водолазка для девочки,CAJ 62445 Водолазка для девочки Голубой (128)-64,Голубой,(128)-64,14,308,Женский,"кашкорсе, 95% хлопок, 5% эластан",,,Cherubino,2.366,Школьная коллекция
48,CAJ 62457 ,CSK 62338-6,Блузки,CAJ 62457 Джемпер для девочки,CAJ 62457 Джемпер для девочки Св.розовый (128)-64,Св.розовый,(128)-64,11,288,Женский,"кулирная гладь, 92% хлопок, 8% эластан",,,Cherubino,1.221,Школьная коллекция
49,CAJ 62450,CSK 62338-7,Водолазки,CAJ 62450 Водолазка для девочки,CAJ 62450 Водолазка для девочки Св.голубой (164)-84,Св.голубой,(164)-84,24,277,Женский,"кулирная гладь, 92% хлопок, 8% эластан",,,Cherubino,3.528,Школьная коллекция
50,CAJ 62450,CSK 62338-8,Водолазки,CAJ 62450 Водолазка для девочки,CAJ 62450 Водолазка для девочки Серебро (164)-84,Серебро,(164)-84,11,277,Женский,"кулирная гладь, 92% хлопок, 8% эластан",,,Cherubino,1.617,Школьная коллекция
51,CAJ 62460,CSK 62338-9,Водолазки,CAJ 62460 Водолазка для девочки,CAJ 62460 Водолазка для девочки Белый (140)-72,Белый,(140)-72,56,251,Женский,"интерлок, 100% хлопок",,,Cherubino,8.68,Школьная коллекция
52,CAJ 62460,CSK 62338-10,Водолазки,CAJ 62460 Водолазка для девочки,CAJ 62460 Водолазка для девочки Белый (158)-80,Белый,(158)-80,31,251,Женский,"интерлок, 100% хлопок",,,Cherubino,4.805,Школьная коллекция
53,CAK 62444,CSK 62338-11,Водолазки,CAK 62444 Водолазка для девочки,CAK 62444 Водолазка для девочки Белый (098)-56,Белый,(098)-56,30,238,Женский,"кашкорсе, 95% хлопок, 5% эластан",,,Cherubino,3.45,Школьная коллекция
54,CAK 5422 ,CSK 62339-1,Сорочки,"CAK 5422 Платье модель ""туника"" для девочки","CAK 5422 Платье модель ""туника"" для девочки Сиреневый (116)-60",Сиреневый,(116)-60,59,189,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,5.487,
55,CH 8177,CSK 62339-2,Головные уборы,CH 8177 (228) Шапка для мальчика,CH 8177 (228) Шапка для мальчика Синий 52-54,Синий,52-54,1,135,Мужской,"рибана, 95% хлопок, 5% эластан",,,Cherubino,0.078,Sport Spirit
56,CH 8185,CSK 62339-3,Головные уборы,CH 8185 (232) Шапка для девочки,CH 8185 (232) Шапка для девочки Черный 54-56,Черный,54-56,2,136,Женский,"кулирная гладь, 92% хлопок, 8% эластан",,,Cherubino,0.102,Girl Power
57,CSJ 62353,CSK 62339-4,Лонгсливы,CSJ 62353 (236) Джемпер для мальчика,CSJ 62353 (236) Джемпер для мальчика Синий (158)-80,Синий,(158)-80,7,283,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,1.05,Muzic Party
58,CSK 62328,CSK 62339-5,Лонгсливы,CSK 62328-1 (227) Джемпер для мальчика,CSK 62328-1 (227) Джемпер для мальчика Серый меланж (122)-64,Серый меланж,(122)-64,1,257,Мужской,"кулирная гладь, 80% хлопок, 20% п/э",,,Cherubino,0.127,Jurassic mania
59,CSK 62338,CSK 62339-6,Лонгсливы,CSK 62338 (228) Джемпер для мальчика,CSK 62338 (228) Джемпер для мальчика Черный (134)-68,Черный,(134)-68,5,382,Мужской,"футер петля, 100% хлопок",,,Cherubino,0.83,Sport Spirit
60,CSK 62371,CSK 62339-7,Толстовки,CSK 62371 (224) Куртка для девочки,CSK 62371 (224) Куртка для девочки Морская волна (122)-64,Морская волна,(122)-64,4,610,Женский,"футер петля, 75% хлопок, 25% п/э",,,Cherubino,0.86,Girl Power
61,CSK 7861,CSK 62339-8,Брюки,CSK 7861 (224) Брюки для девочки,CSK 7861 (224) Брюки для девочки Морская волна (134)-68,Морская волна,(134)-68,3,440,Женский,"футер петля, 75% хлопок, 25% п/э",,,Cherubino,0.564,Girl Power
62,CH 8195,CSK 62339-9,Головные уборы,"CH 8195 (232) Комплект для девочки (шапка, снуд)","CH 8195 (232) Комплект для девочки (шапка, снуд) Экрю 56-58 (m)",Экрю,56-58 (m),1,234,Женский,"рибана, 92% хлопок, 3% п/э, 5% эластан",,,Cherubino,0.103,Girl Power
63,CH 8196,CSK 62339-10,Головные уборы,"CH 8196 (224) Комплект для девочки (шапка, снуд)","CH 8196 (224) Комплект для девочки (шапка, снуд) Экрю 50-52 (s)",Экрю,50-52 (s),4,247,Женский,"рибана, 92% хлопок, 3% п/э, 5% эластан",,,Cherubino,0.48,Girl Power
64,CAK 3504,CSK 62339-11,Комплекты белья,"CAK 3504 Комплект для девочки (майка, трусы)","CAK 3504 Комплект для девочки (майка, трусы) Св.желтый (110-116)-60",Св.желтый,(110-116)-60,3,180,Женский,"рибана, 100% хлопок",,,Cherubino,0.243,
65,СK 6T111,CSK 62340-1,Рубашки,СK 6T111 (231) Рубашка для мальчика,СK 6T111 (231) Рубашка для мальчика Оранжевый (098)-56,Оранжевый,(098)-56,2,383,Мужской,"сорочечная, 100% хлопок",,,Cherubino,0.162,Скорость
66,СK 6T111,CSK 62340-2,Рубашки,СK 6T111 (231) Рубашка для мальчика,СK 6T111 (231) Рубашка для мальчика Салатовый (104)-56,Салатовый,(104)-56,2,383,Мужской,"сорочечная, 100% хлопок",,,Cherubino,0.162,Скорость
67,CJ 7T115,CSK 62340-3,Шорты,CJ 7T115 (237) Шорты для мальчика,CJ 7T115 (237) Шорты для мальчика Т.серый (164)-84,Т.серый,(164)-84,6,441,Мужской,"поплин, 100% хлопок",,,Cherubino,0.714,Stay Wild
68,CSJ 7876,CSK 62340-4,Бриджи,CSJ 7876 (233) Бриджи для девочки,CSJ 7876 (233) Бриджи для девочки Т.синий (134)-68,Т.синий,(134)-68,1,195,Женский,"кулирная гладь, 92% хлопок, 8% эластан",,,Cherubino,0.11,Sea World
69,CSK 7859,CSK 62340-5,Бриджи,CSK 7859 (223) Бриджи для девочки,CSK 7859 (223) Бриджи для девочки Красный (116)-60,Красный,(116)-60,4,151,Женский,"кулирная гладь, 92% хлопок, 8% эластан",,,Cherubino,0.288,Cherry Girl
70,CSK 7860,CSK 62373-1,Бриджи,CSK 7860 (223) Бриджи для девочки,CSK 7860 (223) Бриджи для девочки Т.синий-Белый (128)-64,Т.синий-Белый,(128)-64,2,239,Женский,"кулирная гладь, 92% хлопок, 8% эластан",,,Cherubino,0.15,Cherry Girl
71,CSJ 5415,CSK 62373-2,Пижамы,"CSJ 5415 Комплект для мальчика (футболка, шорты)","CSJ 5415 Комплект для мальчика (футболка, шорты) Серый (128)-64",Серый,(128)-64,1,360,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.173,
72,CSK 9832,CSK 62373-3,Комплекты,"CSK 9832 (223) Комплект для девочки (платье типа ""туника"", бриджи)","CSK 9832 (223) Комплект для девочки (платье типа ""туника"", бриджи) Т.синий (098)-56",Т.синий,(098)-56,2,302,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,0.282,Cherry Girl
73,CSK 9844,CSK 62373-4,Комплекты,"CSK 9844 (231) Комплект для мальчика (футболка, шорты)","CSK 9844 (231) Комплект для мальчика (футболка, шорты) Красный (098)-56",Красный,(098)-56,3,347,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.516,Скорость
74,CSK 9844,CSK 62373-5,Комплекты,"CSK 9844 (231) Комплект для мальчика (футболка, шорты)","CSK 9844 (231) Комплект для мальчика (футболка, шорты) Красный (116)-60",Красный,(116)-60,2,347,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.344,Скорость
75,CSJ 5416,CSK 62373-6,Пижамы,"CSJ 5416 Комплект для мальчика (футболка, брюки)","CSJ 5416 Комплект для мальчика (футболка, брюки) Оранжевый (140)-72",Оранжевый,(140)-72,3,431,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.774,
76,CSK 62404,CSK 62373-7,Майки бельевые,CSK 62404 (230) Майка для мальчика,CSK 62404 (230) Майка для мальчика Желтый (110)-60,Желтый,(110)-60,5,151,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.305,Surf up
77,CSK 62404,CSK 62373-8,Майки бельевые,CSK 62404 (230) Майка для мальчика,CSK 62404 (230) Майка для мальчика Желтый (104)-56,Желтый,(104)-56,5,151,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.305,Surf up
78,CSJ 62390,CSK 62373-9,Майки,CSJ 62390 (238) Майка для мальчика,CSJ 62390 (238) Майка для мальчика Синий (140)-72,Синий,(140)-72,3,230,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.3,Sea Adventure
79,CSK 62430,CSK 62373-10,Футболки,CSK 62430 (226) Футболка для девочки,CSK 62430 (226) Футболка для девочки Св.мята (104)-56,Св.мята,(104)-56,2,194,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,0.142,Magic Butterflies
80,CSJ 62388,CSK 62373-11,Футболки,CSJ 62388 (238) Футболка для мальчика,CSJ 62388 (238) Футболка для мальчика Белый (152)-80,Белый,(152)-80,2,223,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.216,Sea Adventure
81,CSJ 62412,CSK 62373-12,Футболки,CSJ 62412 (239) Футболка для мальчика,CSJ 62412 (239) Футболка для мальчика Экрю (128)-64,Экрю,(128)-64,2,211,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.218,Extreme
82,CSJ 62408,CSK 62373-13,Футболки,CSJ 62408 (233) Футболка для девочки,CSJ 62408 (233) Футболка для девочки Желтый-Белый (158)-80,Желтый-Белый,(158)-80,23,278,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,2.346,Sea World
83,CSJ 62421,CSK 62373-14,Футболки,CSJ 62421 (234) Футболка для девочки,CSJ 62421 (234) Футболка для девочки Бирюзовый (128)-64,Бирюзовый,(128)-64,2,255,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,0.196,Amazing Africa
84,CSK 62402,CSK 7861-1,Футболки,CSK 62402 (230) Футболка для мальчика,CSK 62402 (230) Футболка для мальчика Желтый-Белый (122)-64,Желтый-Белый,(122)-64,2,217,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.164,Surf up
85,CJ 7T122,CSK 7861-2,Шорты,CJ 7T122 (234) Шорты для девочки,CJ 7T122 (234) Шорты для девочки Т.синий (128)-64,Т.синий,(128)-64,2,330,Женский,"поплин, 100% хлопок",,,Cherubino,0.202,Amazing Africa
86,CK 7T121,CSK 7861-3,Шорты,CK 7T121 (231) Шорты для мальчика,CK 7T121 (231) Шорты для мальчика Т.синий (128)-64,Т.синий,(128)-64,3,343,Мужской,"поплин, 100% хлопок",,,Cherubino,0.339,Скорость
87,CSK 62399,CSK 7861-4,Футболки,CSK 62399 (230) Футболка для мальчика,CSK 62399 (230) Футболка для мальчика Желтый-Белый (122)-64,Желтый-Белый,(122)-64,2,223,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.158,Surf up
88,CAK 61165,CSK 7861-5,Водолазки,CAK 61165-1 Водолазка для мальчика,CAK 61165-1 Водолазка для мальчика Серый меланж (116)-60,Серый меланж,(116)-60,34,185,Мужской,"кашкорсе, 76% хлопок, 19% п/э, 5% эластан",,,Cherubino,3.74,Школьная коллекция
89,CAK 61165,CSK 7861-6,Водолазки,CAK 61165-1 Водолазка для мальчика,CAK 61165-1 Водолазка для мальчика Серый меланж (122)-64,Серый меланж,(122)-64,13,185,Мужской,"кашкорсе, 76% хлопок, 19% п/э, 5% эластан",,,Cherubino,1.43,Школьная коллекция
90,CAJ 62443 ,CH 8193-1,Водолазки,CAJ 62443 Джемпер для мальчика,CAJ 62443 Джемпер для мальчика Красный (122)-64,Красный,(122)-64,7,235,Мужской,"рибана, 95% хлопок, 5% эластан",,,Cherubino,0.966,Школьная коллекция
91,CAJ 62443,CH 8193-2,Водолазки,CAJ 62443-1 Джемпер для мальчика,CAJ 62443-1 Джемпер для мальчика Серый меланж (128)-64,Серый меланж,(128)-64,13,235,Мужской,"рибана, 76% хлопок, 19% п/э, 5% эластан",,,Cherubino,1.807,Школьная коллекция
92,CAJ 62443,CH 8193-3,Водолазки,CAJ 62443-1 Джемпер для мальчика,CAJ 62443-1 Джемпер для мальчика Серый меланж (134)-68,Серый меланж,(134)-68,10,235,Мужской,"рибана, 76% хлопок, 19% п/э, 5% эластан",,,Cherubino,1.39,Школьная коллекция
93,CAJ 9856 ,CH 8193-4,Комплекты,"CAJ 9856 Комплект для мальчика (футболка, шорты)","CAJ 9856 Комплект для мальчика (футболка, шорты) Бирюзовый-Т.синий (104)-56",Бирюзовый-Т.синий,(104)-56,7,356,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,1.155,Спортивная коллекция
94,CAJ 9856 ,CH 8193-5,Комплекты,"CAJ 9856 Комплект для мальчика (футболка, шорты)","CAJ 9856 Комплект для мальчика (футболка, шорты) Изумрудный-Черный (104)-56",Изумрудный-Черный,(104)-56,4,356,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.66,Спортивная коллекция
95,CAJ 4182 ,CH 8193-6,Купальники,CAJ 4182 Купальник гимнастический,CAJ 4182 Купальник гимнастический Черный (146)-76,Черный,(146)-76,151,227,Женский,"кулирная гладь, 92% хлопок, 8% эластан",,,Cherubino,16.459,Спортивная коллекция
96,CAK 4181,CH 8193-7,Купальники,CAK 4181 Купальник гимнастический,CAK 4181 Купальник гимнастический Черный (122)-64,Черный,(122)-64,109,174,Женский,"кулирная гладь, 92% хлопок, 8% эластан",,,Cherubino,7.739,Спортивная коллекция
97,CAJ 1495 ,CH 8193-8,Трусы,CAJ 1495 Трусы для девочки,CAJ 1495 Трусы для девочки Св.бирюзовый (140)-72,Св.бирюзовый,(140)-72,70,82,Женский,"рибана, 100% хлопок",,,Cherubino,2.8,
98,CAK 1494,CH 8195-1,Трусы,CAK 1494 Трусы для девочки,CAK 1494 Трусы для девочки Св.бирюзовый (110-116)-60,Св.бирюзовый,(110-116)-60,74,73,Женский,"рибана, 100% хлопок",,,Cherubino,2.368,
99,CAJ 62442,CH 8195-2,Лонгсливы,CAJ 62442 Футболка для мальчика,CAJ 62442 Футболка для мальчика Черный (104)-56,Черный,(104)-56,29,206,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,2.987,Школьная коллекция
100,CAJ 62445 ,CH 8195-3,Водолазки,CAJ 62445 Водолазка для девочки,CAJ 62445 Водолазка для девочки Белый (158)-80,Белый,(158)-80,17,308,Женский,"кашкорсе, 95% хлопок, 5% эластан",,,Cherubino,2.873,Школьная коллекция
