,Артикул,Артикул WB,Наименование,Полное наименование,Цвет,Размер,Кол-во,Пол,Материал
979,CH 8195 (232) ,CH8195(232)/,"CH 8195 (232) Комплект для девочки (шапка, снуд)","CH 8195 (232) Комплект для девочки (шапка, снуд) Салатовый 50-52 (s)",Салатовый,50-52 (s),2,Женский,"рибана, 92% хлопок, 3% п/э, 5% эластан"
980,CSK 62429 (225),CSK62429(225)/,CSK 62429 (225) Платье для девочки,CSK 62429 (225) Платье для девочки Св.желтый (128)-64,Св.желтый,(128)-64,1,Женский,"кулирная гладь, 100% хлопок"
981,CAJ 1486,CAJ1486/,CAJ 1486 Трусы для девочки,CAJ 1486 Трусы для девочки Св.розовый (146)-76,Св.розовый,(146)-76,3,Женский,"рибана, 100% хлопок"
982,CSK 62416 (231) ,CSK62416(231)/,CSK 62416 (231) Футболка для мальчика,CSK 62416 (231) Футболка для мальчика Белый (128)-64,Белый,(128)-64,3,Мужской,"кулирная гладь, 100% хлопок"
983,CSJ 7876 (233),CSJ7876(233)/,CSJ 7876 (233) Бриджи для девочки,CSJ 7876 (233) Бриджи для девочки Т.синий (158)-80,Т.синий,(158)-80,1,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
984,CSJ 7876 (233),CSJ7876(233)/,CSJ 7876 (233) Бриджи для девочки,CSJ 7876 (233) Бриджи для девочки Синий (128)-64,Синий,(128)-64,2,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
985,CSK 7859 (223),CSK7859(223)/,CSK 7859 (223) Бриджи для девочки,CSK 7859 (223) Бриджи для девочки Синий (110)-60,Синий,(110)-60,6,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
986,CSK 7889 (226),CSK7889(226)/,"CSK 7889 (226) Брюки типа ""лосины"" для девочки","CSK 7889 (226) Брюки типа ""лосины"" для девочки Лаванда (098)-56",Лаванда,(098)-56,1,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
987,CSK 9831 (223),CSK9831(223)/,"CSK 9831 (223) Комплект для девочки (футболка, шорты)","CSK 9831 (223) Комплект для девочки (футболка, шорты) Белый-Т.синий (116)-60",Белый-Т.синий,(116)-60,2,Женский,"кулирная гладь, 100% хлопок"
988,CSK 7881 (225) ,CSK7881(225)/,CSK 7881 (225) Бриджи для девочки,CSK 7881 (225) Бриджи для девочки Морская волна (104)-56,Морская волна,(104)-56,5,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
