,Артикул,Артикул WB,Наименование,Полное наименование,Цвет,Размер,Кол-во,Пол,Материал
0,CAK 2303 ,CAK2303/,CAK 2303 Майка детская,CAK 2303 Майка детская Белый (098-104)-56,Белый,(098-104)-56,498,Мужской,"кулирная гладь, 100% хлопок"
1,CSJ 62352 (236) ,CSJ62352(236)/,CSJ 62352 (236) Джемпер для мальчика,CSJ 62352 (236) Джемпер для мальчика Серый меланж (146)-76,Серый меланж,(146)-76,1,Мужской,"кулирная гладь повышенной плотности, 80% хлопок, 20% п/э"
2,CSJ 62352 (236) ,CSJ62352(236)/,CSJ 62352 (236) Джемпер для мальчика,CSJ 62352 (236) Джемпер для мальчика Серый меланж (158)-80,Серый меланж,(158)-80,3,Мужской,"кулирная гладь повышенной плотности, 80% хлопок, 20% п/э"
3,CSJ 62353 (236) ,CSJ62353(236)/,CSJ 62353 (236) Джемпер для мальчика,CSJ 62353 (236) Джемпер для мальчика Красный (134)-68,Красный,(134)-68,15,Мужской,"кулирная гладь, 100% хлопок"
4,CSJ 62353 (236) ,CSJ62353(236)/,CSJ 62353 (236) Джемпер для мальчика,CSJ 62353 (236) Джемпер для мальчика Синий (134)-68,Синий,(134)-68,5,Мужской,"кулирная гладь, 100% хлопок"
5,CSJ 62353 (236) ,CSJ62353(236)/,CSJ 62353 (236) Джемпер для мальчика,CSJ 62353 (236) Джемпер для мальчика Синий (152)-80,Синий,(152)-80,12,Мужской,"кулирная гладь, 100% хлопок"
6,CSJ 62353 (236) ,CSJ62353(236)/,CSJ 62353 (236) Джемпер для мальчика,CSJ 62353 (236) Джемпер для мальчика Синий (164)-84,Синий,(164)-84,4,Мужской,"кулирная гладь, 100% хлопок"
7,CSJ 62380 (232) ,CSJ62380(232)/,CSJ 62380 (232) Джемпер для девочки,CSJ 62380 (232) Джемпер для девочки Бирюзовый (134)-68,Бирюзовый,(134)-68,4,Женский,"кулирная гладь, 97% хлопок, 3% п/э"
8,CSJ 62382 (232),CSJ62382(232)/,"CSJ 62382 (232) Платье типа ""туника"" для девочки","CSJ 62382 (232) Платье типа ""туника"" для девочки Арбузный (128)-64",Арбузный,(128)-64,1,Женский,"кулирная гладь, 100% хлопок"
9,CSK 62338 (228) ,CSK62338(228)/,CSK 62338 (228) Джемпер для мальчика,CSK 62338 (228) Джемпер для мальчика Черный (104)-56,Черный,(104)-56,1,Мужской,"футер петля, 100% хлопок"
10,CSK 62338-1 (228) ,CSK62338-1(228)/,CSK 62338-1 (228) Джемпер для мальчика,CSK 62338-1 (228) Джемпер для мальчика Т.серый меланж (122)-64,Т.серый меланж,(122)-64,1,Мужской,"футер петля, 70% хлопок, 30% п/э"
11,CSK 62339 (228),CSK62339(228)/,CSK 62339 (228) Джемпер для мальчика,CSK 62339 (228) Джемпер для мальчика Серый меланж (098)-56,Серый меланж,(098)-56,1,Мужской,"кулирная гладь повышенной плотности, 80% хлопок, 20% п/э"
12,CSK 62340 (228) ,CSK62340(228)/,CSK 62340 (228) Джемпер для мальчика,CSK 62340 (228) Джемпер для мальчика Красный (092)-52,Красный,(092)-52,2,Мужской,"кулирная гладь, 100% хлопок"
13,CSK 62373 (224),CSK62373(224)/,CSK 62373 (224) Джемпер для девочки,CSK 62373 (224) Джемпер для девочки Арбузный (104)-56,Арбузный,(104)-56,4,Женский,"кулирная гладь, 100% хлопок"
14,CSK 62373 (224),CSK62373(224)/,CSK 62373 (224) Джемпер для девочки,CSK 62373 (224) Джемпер для девочки Морская волна (110)-60,Морская волна,(110)-60,5,Женский,"кулирная гладь, 100% хлопок"
15,CSK 7861 (224),CSK7861(224)/,CSK 7861 (224) Брюки для девочки,CSK 7861 (224) Брюки для девочки Морская волна (104)-56,Морская волна,(104)-56,4,Женский,"футер петля, 75% хлопок, 25% п/э"
16,CH 8193 (224) ,CH8193(224)/,"CH 8193 (224) Комплект для девочки (шапка, снуд)","CH 8193 (224) Комплект для девочки (шапка, снуд) Арбузный 54-56 (m)",Арбузный,54-56 (m),4,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
17,CH 8195 (232) ,CH8195(232)/,"CH 8195 (232) Комплект для девочки (шапка, снуд)","CH 8195 (232) Комплект для девочки (шапка, снуд) Салатовый 54-56 (m)",Салатовый,54-56 (m),4,Женский,"рибана, 92% хлопок, 3% п/э, 5% эластан"
18,CSK 9846 (225),CSK9846(225)/,"CSK 9846 (225) Комплект для девочки (платье типа ""туника"", бриджи)","CSK 9846 (225) Комплект для девочки (платье типа ""туника"", бриджи) Св.желтый (134)-68",Св.желтый,(134)-68,5,Женский,"кулирная гладь, 100% хлопок"
19,CSJ 9834 (238),CSJ9834(238)/,"CSJ 9834 (238) Комплект для мальчика (футболка, шорты)","CSJ 9834 (238) Комплект для мальчика (футболка, шорты) Желтый (128)-64",Желтый,(128)-64,3,Мужской,"кулирная гладь, 100% хлопок"
20,CSJ 62410 (233),CSJ62410(233)/,"CSJ 62410 (233) Платье типа ""туника"" для девочки","CSJ 62410 (233) Платье типа ""туника"" для девочки Голубой (146)-76",Голубой,(146)-76,1,Женский,"кулирная гладь, 100% хлопок"
21,CSJ 62410 (233),CSJ62410(233)/,"CSJ 62410 (233) Платье типа ""туника"" для девочки","CSJ 62410 (233) Платье типа ""туника"" для девочки Желтый (128)-64",Желтый,(128)-64,3,Женский,"кулирная гладь, 100% хлопок"
22,CSK 62426 (225),CSK62426(225)/,"CSK 62426 (225) Платье типа ""туника"" для девочки","CSK 62426 (225) Платье типа ""туника"" для девочки Св.желтый (128)-64",Св.желтый,(128)-64,1,Женский,"кулирная гладь, 100% хлопок"
23,CAK 1483 ,CAK1483/,CAK 1483 Трусы для девочки,CAK 1483 Трусы для девочки Св.желтый (092)-52,Св.желтый,(092)-52,5,Женский,"рибана, 100% хлопок"
24,CSJ 7879 (234) ,CSJ7879(234)/,CSJ 7879 (234) Бриджи для девочки,CSJ 7879 (234) Бриджи для девочки Коралловый (128)-64,Коралловый,(128)-64,1,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
25,CSK 7849 (222),CSK7849(222)/,CSK 7849 (222) Бриджи для девочки,CSK 7849 (222) Бриджи для девочки Лиловый (098)-56,Лиловый,(098)-56,6,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
26,CSK 7849 (222),CSK7849(222)/,CSK 7849 (222) Бриджи для девочки,CSK 7849 (222) Бриджи для девочки Лиловый (128)-64,Лиловый,(128)-64,6,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
27,CSK 7850 (222),CSK7850(222)/,CSK 7850 (222) Бриджи для девочки,CSK 7850 (222) Бриджи для девочки Лиловый (110)-60,Лиловый,(110)-60,5,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
28,CSK 5413,CSK5413/,"CSK 5413 Комплект для мальчика (футболка, брюки)","CSK 5413 Комплект для мальчика (футболка, брюки) Оранжевый (110)-60",Оранжевый,(110)-60,2,Мужской,"кулирная гладь, 100% хлопок"
29,CAK 1477,CAK1477/,CAK 1477 Трусы-боксеры для мальчика,CAK 1477 Трусы-боксеры для мальчика Т.синий (092)-52,Т.синий,(092)-52,4,Мужской,"кулирная гладь, 100% хлопок"
30,CSK 5402,CSK5402/,"CSK 5402 Комплект для девочки (футболка, шорты)","CSK 5402 Комплект для девочки (футболка, шорты) Св.персиковый (092)-52",Св.персиковый,(092)-52,1,Женский,"кулирная гладь, 100% хлопок"
31,CSJ 62409 (233) ,CSJ62409(233)/,CSJ 62409 (233) Футболка для девочки,CSJ 62409 (233) Футболка для девочки Т.синий (128)-64,Т.синий,(128)-64,3,Женский,"кулирная гладь, 100% хлопок"
32,CSK 62431 (226),CSK62431(226)/,CSK 62431 (226) Футболка для девочки,CSK 62431 (226) Футболка для девочки Лаванда (122)-64,Лаванда,(122)-64,3,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
33,CAK 1480,CAK1480/,CAK 1480 Трусы для мальчика,CAK 1480 Трусы для мальчика Синий (122-128)-64,Синий,(122-128)-64,8,Мужской,"кулирная гладь, 100% хлопок"
34,CSJ 62388 (238),CSJ62388(238)/,CSJ 62388 (238) Футболка для мальчика,CSJ 62388 (238) Футболка для мальчика Желтый (146)-76,Желтый,(146)-76,3,Мужской,"кулирная гладь, 100% хлопок"
35,CSJ 62412 (239),CSJ62412(239)/,CSJ 62412 (239) Футболка для мальчика,CSJ 62412 (239) Футболка для мальчика Экрю (152)-80,Экрю,(152)-80,2,Мужской,"кулирная гладь, 100% хлопок"
36,CSK 62370 (223),CSK62370(223)/,CSK 62370 (223) Футболка для девочки,CSK 62370 (223) Футболка для девочки Т.синий (110)-60,Т.синий,(110)-60,4,Женский,"кулирная гладь, 100% хлопок"
37,CSJ 62363 (237),CSJ62363(237)/,CSJ 62363 (237) Футболка для мальчика,CSJ 62363 (237) Футболка для мальчика Желтый (134)-68,Желтый,(134)-68,2,Мужской,"кулирная гладь, 100% хлопок"
38,CSJ 62363 (237),CSJ62363(237)/,CSJ 62363 (237) Футболка для мальчика,CSJ 62363 (237) Футболка для мальчика Оливковый (146)-76,Оливковый,(146)-76,4,Мужской,"кулирная гладь, 100% хлопок"
39,CSK 62415 (231),CSK62415(231)/,CSK 62415 (231) Футболка для мальчика,CSK 62415 (231) Футболка для мальчика Т.синий (122)-64,Т.синий,(122)-64,3,Мужской,"кулирная гладь, 100% хлопок"
40,CAJ 61166-1 ,CAJ61166-1/,CAJ 61166-1 Водолазка для мальчика,CAJ 61166-1 Водолазка для мальчика Серый меланж (164)-84,Серый меланж,(164)-84,46,Мужской,"кашкорсе, 76% хлопок, 19% п/э, 5% эластан"
41,CAJ 62443 ,CAJ62443/,CAJ 62443 Джемпер для мальчика,CAJ 62443 Джемпер для мальчика Василек (122)-64,Василек,(122)-64,2,Мужской,"рибана, 95% хлопок, 5% эластан"
42,CAJ 62443 ,CAJ62443/,CAJ 62443 Джемпер для мальчика,CAJ 62443 Джемпер для мальчика Изумрудный (104)-56,Изумрудный,(104)-56,9,Мужской,"рибана, 95% хлопок, 5% эластан"
43,CAJ 62443-1 ,CAJ62443-1/,CAJ 62443-1 Джемпер для мальчика,CAJ 62443-1 Джемпер для мальчика Серый меланж (116)-60,Серый меланж,(116)-60,46,Мужской,"рибана, 76% хлопок, 19% п/э, 5% эластан"
44,CAJ 9856 ,CAJ9856/,"CAJ 9856 Комплект для мальчика (футболка, шорты)","CAJ 9856 Комплект для мальчика (футболка, шорты) Красный-Черный (116)-60",Красный-Черный,(116)-60,4,Мужской,"кулирная гладь, 100% хлопок"
45,CAJ 4182 ,CAJ4182/,CAJ 4182 Купальник гимнастический,CAJ 4182 Купальник гимнастический Черный (164)-84,Черный,(164)-84,147,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
46,CAJ 62442-1 ,CAJ62442-1/,CAJ 62442-1 Футболка для мальчика,CAJ 62442-1 Футболка для мальчика Серый меланж (098)-56,Серый меланж,(098)-56,24,Мужской,"кулирная гладь, 80% хлопок, 20% п/э"
47,CAJ 62445 ,CAJ62445/,CAJ 62445 Водолазка для девочки,CAJ 62445 Водолазка для девочки Голубой (128)-64,Голубой,(128)-64,14,Женский,"кашкорсе, 95% хлопок, 5% эластан"
48,CAJ 62457 ,CAJ62457/,CAJ 62457 Джемпер для девочки,CAJ 62457 Джемпер для девочки Св.розовый (128)-64,Св.розовый,(128)-64,11,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
49,CAJ 62450,CAJ62450/,CAJ 62450 Водолазка для девочки,CAJ 62450 Водолазка для девочки Св.голубой (164)-84,Св.голубой,(164)-84,24,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
50,CAJ 62450,CAJ62450/,CAJ 62450 Водолазка для девочки,CAJ 62450 Водолазка для девочки Серебро (164)-84,Серебро,(164)-84,11,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
51,CAJ 62460,CAJ62460/,CAJ 62460 Водолазка для девочки,CAJ 62460 Водолазка для девочки Белый (140)-72,Белый,(140)-72,56,Женский,"интерлок, 100% хлопок"
52,CAJ 62460,CAJ62460/,CAJ 62460 Водолазка для девочки,CAJ 62460 Водолазка для девочки Белый (158)-80,Белый,(158)-80,31,Женский,"интерлок, 100% хлопок"
53,CAK 62444,CAK62444/,CAK 62444 Водолазка для девочки,CAK 62444 Водолазка для девочки Белый (098)-56,Белый,(098)-56,30,Женский,"кашкорсе, 95% хлопок, 5% эластан"
54,CAK 5422 ,CAK5422/,"CAK 5422 Платье модель ""туника"" для девочки","CAK 5422 Платье модель ""туника"" для девочки Сиреневый (116)-60",Сиреневый,(116)-60,59,Женский,"кулирная гладь, 100% хлопок"
55,CH 8177 (228),CH8177(228)/,CH 8177 (228) Шапка для мальчика,CH 8177 (228) Шапка для мальчика Синий 52-54,Синий,52-54,1,Мужской,"рибана, 95% хлопок, 5% эластан"
56,CH 8185 (232) ,CH8185(232)/,CH 8185 (232) Шапка для девочки,CH 8185 (232) Шапка для девочки Черный 54-56,Черный,54-56,2,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
57,CSJ 62353 (236) ,CSJ62353(236)/,CSJ 62353 (236) Джемпер для мальчика,CSJ 62353 (236) Джемпер для мальчика Синий (158)-80,Синий,(158)-80,7,Мужской,"кулирная гладь, 100% хлопок"
58,CSK 62328-1 (227),CSK62328-1(227)/,CSK 62328-1 (227) Джемпер для мальчика,CSK 62328-1 (227) Джемпер для мальчика Серый меланж (122)-64,Серый меланж,(122)-64,1,Мужской,"кулирная гладь, 80% хлопок, 20% п/э"
59,CSK 62338 (228) ,CSK62338(228)/,CSK 62338 (228) Джемпер для мальчика,CSK 62338 (228) Джемпер для мальчика Черный (134)-68,Черный,(134)-68,5,Мужской,"футер петля, 100% хлопок"
60,CSK 62371 (224),CSK62371(224)/,CSK 62371 (224) Куртка для девочки,CSK 62371 (224) Куртка для девочки Морская волна (122)-64,Морская волна,(122)-64,4,Женский,"футер петля, 75% хлопок, 25% п/э"
61,CSK 7861 (224),CSK7861(224)/,CSK 7861 (224) Брюки для девочки,CSK 7861 (224) Брюки для девочки Морская волна (134)-68,Морская волна,(134)-68,3,Женский,"футер петля, 75% хлопок, 25% п/э"
62,CH 8195 (232) ,CH8195(232)/,"CH 8195 (232) Комплект для девочки (шапка, снуд)","CH 8195 (232) Комплект для девочки (шапка, снуд) Экрю 56-58 (m)",Экрю,56-58 (m),1,Женский,"рибана, 92% хлопок, 3% п/э, 5% эластан"
63,CH 8196 (224),CH8196(224)/,"CH 8196 (224) Комплект для девочки (шапка, снуд)","CH 8196 (224) Комплект для девочки (шапка, снуд) Экрю 50-52 (s)",Экрю,50-52 (s),4,Женский,"рибана, 92% хлопок, 3% п/э, 5% эластан"
64,CAK 3504,CAK3504/,"CAK 3504 Комплект для девочки (майка, трусы)","CAK 3504 Комплект для девочки (майка, трусы) Св.желтый (110-116)-60",Св.желтый,(110-116)-60,3,Женский,"рибана, 100% хлопок"
65,СK 6T111 (231),СK6T111(231)/,СK 6T111 (231) Рубашка для мальчика,СK 6T111 (231) Рубашка для мальчика Оранжевый (098)-56,Оранжевый,(098)-56,2,Мужской,"сорочечная, 100% хлопок"
66,СK 6T111 (231),СK6T111(231)/,СK 6T111 (231) Рубашка для мальчика,СK 6T111 (231) Рубашка для мальчика Салатовый (104)-56,Салатовый,(104)-56,2,Мужской,"сорочечная, 100% хлопок"
67,CJ 7T115 (237) ,CJ7T115(237)/,CJ 7T115 (237) Шорты для мальчика,CJ 7T115 (237) Шорты для мальчика Т.серый (164)-84,Т.серый,(164)-84,6,Мужской,"поплин, 100% хлопок"
68,CSJ 7876 (233),CSJ7876(233)/,CSJ 7876 (233) Бриджи для девочки,CSJ 7876 (233) Бриджи для девочки Т.синий (134)-68,Т.синий,(134)-68,1,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
69,CSK 7859 (223),CSK7859(223)/,CSK 7859 (223) Бриджи для девочки,CSK 7859 (223) Бриджи для девочки Красный (116)-60,Красный,(116)-60,4,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
70,CSK 7860 (223) ,CSK7860(223)/,CSK 7860 (223) Бриджи для девочки,CSK 7860 (223) Бриджи для девочки Т.синий-Белый (128)-64,Т.синий-Белый,(128)-64,2,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
71,CSJ 5415,CSJ5415/,"CSJ 5415 Комплект для мальчика (футболка, шорты)","CSJ 5415 Комплект для мальчика (футболка, шорты) Серый (128)-64",Серый,(128)-64,1,Мужской,"кулирная гладь, 100% хлопок"
72,CSK 9832 (223),CSK9832(223)/,"CSK 9832 (223) Комплект для девочки (платье типа ""туника"", бриджи)","CSK 9832 (223) Комплект для девочки (платье типа ""туника"", бриджи) Т.синий (098)-56",Т.синий,(098)-56,2,Женский,"кулирная гладь, 100% хлопок"
73,CSK 9844 (231),CSK9844(231)/,"CSK 9844 (231) Комплект для мальчика (футболка, шорты)","CSK 9844 (231) Комплект для мальчика (футболка, шорты) Красный (098)-56",Красный,(098)-56,3,Мужской,"кулирная гладь, 100% хлопок"
74,CSK 9844 (231),CSK9844(231)/,"CSK 9844 (231) Комплект для мальчика (футболка, шорты)","CSK 9844 (231) Комплект для мальчика (футболка, шорты) Красный (116)-60",Красный,(116)-60,2,Мужской,"кулирная гладь, 100% хлопок"
75,CSJ 5416,CSJ5416/,"CSJ 5416 Комплект для мальчика (футболка, брюки)","CSJ 5416 Комплект для мальчика (футболка, брюки) Оранжевый (140)-72",Оранжевый,(140)-72,3,Мужской,"кулирная гладь, 100% хлопок"
76,CSK 62404 (230),CSK62404(230)/,CSK 62404 (230) Майка для мальчика,CSK 62404 (230) Майка для мальчика Желтый (110)-60,Желтый,(110)-60,5,Мужской,"кулирная гладь, 100% хлопок"
77,CSK 62404 (230),CSK62404(230)/,CSK 62404 (230) Майка для мальчика,CSK 62404 (230) Майка для мальчика Желтый (104)-56,Желтый,(104)-56,5,Мужской,"кулирная гладь, 100% хлопок"
78,CSJ 62390 (238) ,CSJ62390(238)/,CSJ 62390 (238) Майка для мальчика,CSJ 62390 (238) Майка для мальчика Синий (140)-72,Синий,(140)-72,3,Мужской,"кулирная гладь, 100% хлопок"
79,CSK 62430 (226) ,CSK62430(226)/,CSK 62430 (226) Футболка для девочки,CSK 62430 (226) Футболка для девочки Св.мята (104)-56,Св.мята,(104)-56,2,Женский,"кулирная гладь, 100% хлопок"
80,CSJ 62388 (238),CSJ62388(238)/,CSJ 62388 (238) Футболка для мальчика,CSJ 62388 (238) Футболка для мальчика Белый (152)-80,Белый,(152)-80,2,Мужской,"кулирная гладь, 100% хлопок"
81,CSJ 62412 (239),CSJ62412(239)/,CSJ 62412 (239) Футболка для мальчика,CSJ 62412 (239) Футболка для мальчика Экрю (128)-64,Экрю,(128)-64,2,Мужской,"кулирная гладь, 100% хлопок"
82,CSJ 62408 (233) ,CSJ62408(233)/,CSJ 62408 (233) Футболка для девочки,CSJ 62408 (233) Футболка для девочки Желтый-Белый (158)-80,Желтый-Белый,(158)-80,23,Женский,"кулирная гладь, 100% хлопок"
83,CSJ 62421 (234),CSJ62421(234)/,CSJ 62421 (234) Футболка для девочки,CSJ 62421 (234) Футболка для девочки Бирюзовый (128)-64,Бирюзовый,(128)-64,2,Женский,"кулирная гладь, 100% хлопок"
84,CSK 62402 (230),CSK62402(230)/,CSK 62402 (230) Футболка для мальчика,CSK 62402 (230) Футболка для мальчика Желтый-Белый (122)-64,Желтый-Белый,(122)-64,2,Мужской,"кулирная гладь, 100% хлопок"
85,CJ 7T122 (234) ,CJ7T122(234)/,CJ 7T122 (234) Шорты для девочки,CJ 7T122 (234) Шорты для девочки Т.синий (128)-64,Т.синий,(128)-64,2,Женский,"поплин, 100% хлопок"
86,CK 7T121 (231),CK7T121(231)/,CK 7T121 (231) Шорты для мальчика,CK 7T121 (231) Шорты для мальчика Т.синий (128)-64,Т.синий,(128)-64,3,Мужской,"поплин, 100% хлопок"
87,CSK 62399 (230),CSK62399(230)/,CSK 62399 (230) Футболка для мальчика,CSK 62399 (230) Футболка для мальчика Желтый-Белый (122)-64,Желтый-Белый,(122)-64,2,Мужской,"кулирная гладь, 100% хлопок"
88,CAK 61165-1,CAK61165-1/,CAK 61165-1 Водолазка для мальчика,CAK 61165-1 Водолазка для мальчика Серый меланж (116)-60,Серый меланж,(116)-60,34,Мужской,"кашкорсе, 76% хлопок, 19% п/э, 5% эластан"
89,CAK 61165-1,CAK61165-1/,CAK 61165-1 Водолазка для мальчика,CAK 61165-1 Водолазка для мальчика Серый меланж (122)-64,Серый меланж,(122)-64,13,Мужской,"кашкорсе, 76% хлопок, 19% п/э, 5% эластан"
90,CAJ 62443 ,CAJ62443/,CAJ 62443 Джемпер для мальчика,CAJ 62443 Джемпер для мальчика Красный (122)-64,Красный,(122)-64,7,Мужской,"рибана, 95% хлопок, 5% эластан"
91,CAJ 62443-1 ,CAJ62443-1/,CAJ 62443-1 Джемпер для мальчика,CAJ 62443-1 Джемпер для мальчика Серый меланж (128)-64,Серый меланж,(128)-64,13,Мужской,"рибана, 76% хлопок, 19% п/э, 5% эластан"
92,CAJ 62443-1 ,CAJ62443-1/,CAJ 62443-1 Джемпер для мальчика,CAJ 62443-1 Джемпер для мальчика Серый меланж (134)-68,Серый меланж,(134)-68,10,Мужской,"рибана, 76% хлопок, 19% п/э, 5% эластан"
93,CAJ 9856 ,CAJ9856/,"CAJ 9856 Комплект для мальчика (футболка, шорты)","CAJ 9856 Комплект для мальчика (футболка, шорты) Бирюзовый-Т.синий (104)-56",Бирюзовый-Т.синий,(104)-56,7,Мужской,"кулирная гладь, 100% хлопок"
94,CAJ 9856 ,CAJ9856/,"CAJ 9856 Комплект для мальчика (футболка, шорты)","CAJ 9856 Комплект для мальчика (футболка, шорты) Изумрудный-Черный (104)-56",Изумрудный-Черный,(104)-56,4,Мужской,"кулирная гладь, 100% хлопок"
95,CAJ 4182 ,CAJ4182/,CAJ 4182 Купальник гимнастический,CAJ 4182 Купальник гимнастический Черный (146)-76,Черный,(146)-76,151,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
96,CAK 4181,CAK4181/,CAK 4181 Купальник гимнастический,CAK 4181 Купальник гимнастический Черный (122)-64,Черный,(122)-64,109,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
97,CAJ 1495 ,CAJ1495/,CAJ 1495 Трусы для девочки,CAJ 1495 Трусы для девочки Св.бирюзовый (140)-72,Св.бирюзовый,(140)-72,70,Женский,"рибана, 100% хлопок"
98,CAK 1494,CAK1494/,CAK 1494 Трусы для девочки,CAK 1494 Трусы для девочки Св.бирюзовый (110-116)-60,Св.бирюзовый,(110-116)-60,74,Женский,"рибана, 100% хлопок"
99,CAJ 62442,CAJ62442/,CAJ 62442 Футболка для мальчика,CAJ 62442 Футболка для мальчика Черный (104)-56,Черный,(104)-56,29,Мужской,"кулирная гладь, 100% хлопок"
100,CAJ 62445 ,CAJ62445/,CAJ 62445 Водолазка для девочки,CAJ 62445 Водолазка для девочки Белый (158)-80,Белый,(158)-80,17,Женский,"кашкорсе, 95% хлопок, 5% эластан"
101,CAJ 62446 ,CAJ62446/,CAJ 62446 Джемпер для девочки,CAJ 62446 Джемпер для девочки Белый (140)-72,Белый,(140)-72,2,Женский,"кулирная гладь, 92% хлопок, 8% элатсан; сетка, 90% нейлон, 10% эластан"
102,CAJ 62459 ,CAJ62459/,CAJ 62459 Джемпер для девочки,CAJ 62459 Джемпер для девочки Белый (152)-80,Белый,(152)-80,41,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
103,CAK 5439,CAK5439/,"CAK 5439 Комплект для мальчика (футболка, шорты)","CAK 5439 Комплект для мальчика (футболка, шорты) Бирюзовый-Серый (110)-60",Бирюзовый-Серый,(110)-60,21,Мужской,"кулирная гладь, 100% хлопок"
104,CAJ 5431 ,CAJ5431/,"CAJ 5431 Платье модель ""туника"" для девочки","CAJ 5431 Платье модель ""туника"" для девочки Желтый (158)-80",Желтый,(158)-80,3,Женский,"кулирная гладь, 100% хлопок"
105,CAJ 5431 ,CAJ5431/,"CAJ 5431 Платье модель ""туника"" для девочки","CAJ 5431 Платье модель ""туника"" для девочки Розовый (146)-76",Розовый,(146)-76,7,Женский,"кулирная гладь, 100% хлопок"
106,CAB 5436,CAB5436/,"CAB 5436 Комплект для мальчика (джемпер, брюки)","CAB 5436 Комплект для мальчика (джемпер, брюки) Салатовый-Синий (086)-52",Салатовый-Синий,(086)-52,19,Мужской,"кулирная гладь, 100% хлопок"
107,CAK 2354 ,CAK2354/,CAK 2354 Майка для девочки,CAK 2354 Майка для девочки Св.розовый (086)-52,Св.розовый,(086)-52,32,Женский,"рибана, 100% хлопок"
108,CWB 7942 (249),CWB7942(249)/,CWB 7942 (249) Ползунки ясельные,CWB 7942 (249) Ползунки ясельные Серый меланж (080)-52,Серый меланж,(080)-52,1,Женский,"футер с начесом, 100% хлопок"
109,CAJ 7969 ,CAJ7969/,CAJ 7969 Бриджи для девочки,CAJ 7969 Бриджи для девочки Голубой (164)-84,Голубой,(164)-84,7,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
110,CH 8201 (248),CH8201(248)/,CH 8201 (248) Шапка детская,CH 8201 (248) Шапка детская Экрю 40,Экрю,40,1,Женский,"рибана, 95% хлопок, 5% эластан"
111,CSK 62341 (228) ,CSK62341(228)/,CSK 62341 (228) Джемпер для мальчика,CSK 62341 (228) Джемпер для мальчика Синий (122)-64,Синий,(122)-64,25,Мужской,"кулирная гладь, 80% хлопок, 20% п/э"
112,CSJ 62341 (228) ,CSJ62341(228)/,CSJ 62341 (228) Джемпер для мальчика,CSJ 62341 (228) Джемпер для мальчика Красный (134)-68,Красный,(134)-68,17,Мужской,"кулирная гладь, 80% хлопок, 20% п/э"
113,CSK 62342 (228),CSK62342(228)/,CSK 62342 (228) Футболка для мальчика,CSK 62342 (228) Футболка для мальчика Синий (098)-56,Синий,(098)-56,1,Мужской,"кулирная гладь, 100% хлопок"
114,CSK 62376-1 (224),CSK62376-1(224)/,CSK 62376-1 (224) Футболка для девочки,CSK 62376-1 (224) Футболка для девочки Серый меланж (104)-56,Серый меланж,(104)-56,9,Женский,"кулирная гладь, 80% хлопок, 20% п/э"
115,CH 8185 (232) ,CH8185(232)/,CH 8185 (232) Шапка для девочки,CH 8185 (232) Шапка для девочки Арбузный 50-52,Арбузный,50-52,1,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
116,CH 8185 (232) ,CH8185(232)/,CH 8185 (232) Шапка для девочки,CH 8185 (232) Шапка для девочки Морская волна 54-56,Морская волна,54-56,2,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
117,CSK 62372 (224),CSK62372(224)/,CSK 62372 (224) Джемпер для девочки,CSK 62372 (224) Джемпер для девочки Бирюзовый (104)-56,Бирюзовый,(104)-56,4,Женский,"кулирная гладь, 97% хлопок, 3% п/э"
118,CH 8194 (224) ,CH8194(224)/,"CH 8194 (224) Комплект для девочки (шапка, снуд)","CH 8194 (224) Комплект для девочки (шапка, снуд) Бирюзовый 50-52 (s)",Бирюзовый,50-52 (s),2,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
119,CH 8195 (232) ,CH8195(232)/,"CH 8195 (232) Комплект для девочки (шапка, снуд)","CH 8195 (232) Комплект для девочки (шапка, снуд) Экрю 50-52 (s)",Экрю,50-52 (s),3,Женский,"рибана, 92% хлопок, 3% п/э, 5% эластан"
120,CSK 62428 (225),CSK62428(225)/,CSK 62428 (225) Платье для девочки,CSK 62428 (225) Платье для девочки Бирюзовый (104)-56,Бирюзовый,(104)-56,1,Женский,"кулирная гладь, 100% хлопок"
